cell,cell_lat,cell_lon,src_lat,src_lon,depth_km,frac_deep,n_pairs,n_sites,n_fam,depth_center,depth_mixed
49.60_-125.20,49.6,-125.2,49.5125,-125.275,21.235,0.0,4,4,20,17.10769230769166,False
49.60_-125.60,49.6,-125.6,49.475,-125.6125,39.239999999999995,1.0,6,6,29,43.41569767441961,False
49.60_-126.00,49.6,-126.0,49.6125,-126.0125,36.379999999999995,0.75,4,4,18,36.459999999999965,False
49.60_-126.40,49.6,-126.4,49.787499999999994,-126.3,37.6,1.0,4,4,28,26.71304347826075,False
49.60_-126.80,49.6,-126.8,49.7,-126.8,25.2,0.0,1,1,1,33.425000000000345,False
50.00_-126.00,50.0,-126.0,49.875,-126.075,34.79,1.0,2,2,3,21.419444444444913,False
50.00_-126.40,50.0,-126.4,49.95,-126.45,25.23,0.2,5,5,41,21.394871794871744,False
50.00_-126.80,50.0,-126.8,50.1,-126.8,24.68,0.0,4,4,28,19.924913925719565,False
50.00_-127.20,50.0,-127.2,50.05,-127.025,28.56,0.0,1,1,4,27.79554973821989,False
50.40_-126.80,50.4,-126.8,50.212500000000006,-126.875,25.93,0.0,2,2,9,29.99224806201542,False
