tag,stem,cell,cell_lat,cell_lon,src_lat,src_lon,src_dep,n_fam,sta_lat,sta_lon,n_days,sigma_daily,site
ALSE,alse,43.60_-123.20,43.6,-123.2,43.7,-123.4,23.33,1,44.382,-123.59,2139,0.1345,0
ALSE,alse,43.60_-123.60,43.6,-123.6,43.675,-123.6,28.9,10,44.382,-123.59,2599,0.1182,0
ALSE,alse,44.00_-123.60,44.0,-123.6,44.025,-123.575,26.17,4,44.382,-123.59,2592,0.2076,0
ALSE,alse,44.40_-123.20,44.4,-123.2,44.55,-123.4,28.14,1,44.382,-123.59,2109,0.2352,0
ALSE,alse,44.40_-123.60,44.4,-123.6,44.5,-123.6,29.35,18,44.382,-123.59,2598,0.159,0
ALSE,alse,44.40_-124.00,44.4,-124.0,44.55,-123.8,17.33,1,44.382,-123.59,2297,0.2207,0
ALSE,alse,44.80_-122.80,44.8,-122.8,44.8,-122.95,41.44,1,44.382,-123.59,2583,0.1789,0
ALSE,alse,44.80_-123.20,44.8,-123.2,44.7,-123.35,29.65,15,44.382,-123.59,2598,0.1407,0
ALSE,alse,44.80_-123.60,44.8,-123.6,44.8,-123.55,26.5,34,44.382,-123.59,2599,0.1503,0
ALSE,alse,44.80_-124.00,44.8,-124.0,44.6,-123.85,20.55,2,44.382,-123.59,2135,0.2127,0
ALSE,alse,45.20_-123.20,45.2,-123.2,45.1,-123.35,27.59,5,44.382,-123.59,2598,0.0984,0
ALSE,alse,45.20_-123.60,45.2,-123.6,45.15,-123.5,37.41,3,44.382,-123.59,2594,0.1078,0
ANGUS,angus,46.40_-123.20,46.4,-123.2,46.55,-123.15,45.28,1,47.101,-123.493,1405,0.4201,1
ANGUS,angus,46.80_-122.80,46.8,-122.8,46.85,-122.8,40.13,3,47.101,-123.493,1603,0.144,1
ANGUS,angus,47.20_-122.80,47.2,-122.8,47.375,-122.9,29.76,8,47.101,-123.493,1583,0.1896,1
ANGUS,angus,47.20_-123.20,47.2,-123.2,47.2,-123.15,41.68,11,47.101,-123.493,1583,0.1351,1
ANGUS,angus,47.60_-122.80,47.6,-122.8,47.5,-122.8,20.91,9,47.101,-123.493,1599,0.1526,1
ANGUS,angus,47.60_-123.20,47.6,-123.2,47.65,-123.15,43.18,13,47.101,-123.493,1607,0.1501,1
ANGUS,angus,47.60_-123.60,47.6,-123.6,47.75,-123.5,34.68,1,47.101,-123.493,528,0.3036,1
ANGUS,angus,48.00_-122.80,48.0,-122.8,47.85,-122.85,15.39,1,47.101,-123.493,1584,0.1822,1
ANGUS,angus,48.00_-123.20,48.0,-123.2,47.85,-123.2,42.56,13,47.101,-123.493,1608,0.143,1
AONC,aonc,40.00_-122.40,40.0,-122.4,40.15,-122.35,25.03,3,39.94,-122.061,2225,0.0405,2
AONC,aonc,40.40_-122.40,40.4,-122.4,40.4,-122.55,20.82,15,39.94,-122.061,2225,0.0236,2
AONC,aonc,40.40_-122.80,40.4,-122.8,40.5,-122.8,26.81,11,39.94,-122.061,2225,0.036,2
AONC,aonc,40.80_-122.40,40.8,-122.4,40.65,-122.45,23.53,1,39.94,-122.061,2225,0.027,2
AONC,aonc,40.80_-122.80,40.8,-122.8,40.7,-122.7,20.15,17,39.94,-122.061,2225,0.0327,2
AONC,aonc,40.80_-123.20,40.8,-123.2,40.8,-123.05,27.99,6,39.94,-122.061,2225,0.0336,2
ARTIC,artic,46.00_-122.80,46.0,-122.8,46.05,-122.85,23.82,1,46.805,-123.759,1853,0.0705,3
ARTIC,artic,46.00_-123.20,46.0,-123.2,45.975,-123.1,24.38,6,46.805,-123.759,1928,0.0485,3
ARTIC,artic,46.40_-122.40,46.4,-122.4,46.6,-122.6,19.82,1,46.805,-123.759,1922,0.0653,3
ARTIC,artic,46.40_-122.80,46.4,-122.8,46.5,-122.875,26.73,4,46.805,-123.759,1927,0.0539,3
