fam,tier,coda_sigma,n,slope,ci_lo,ci_hi,r2,cls
46.300_-122.950__c58,GOLD,21.7,3626,0.024,-0.084,0.13,0.0,DECOUPLED
46.350_-123.050__c285,GOLD,16.4,3571,0.787,0.727,0.855,0.82,SHALLOW-COUPLED
46.350_-123.200__c18,GOLD,22.2,3626,-0.38,-0.656,-0.086,0.05,ANOMALOUS
46.500_-123.100__c731,GOLD,14.0,3557,-0.169,-0.316,0.008,0.02,DECOUPLED
46.550_-122.800__c625,GOLD,40.8,3626,-0.158,-0.261,-0.014,0.03,ANOMALOUS
46.600_-122.700__c414,GOLD,29.4,3625,0.036,-0.235,0.3,0.0,DECOUPLED
46.650_-122.950__c183,GOLD,16.9,3624,0.294,0.151,0.44,0.11,SHALLOW-COUPLED
46.750_-122.800__c340,GOLD,22.7,3626,-0.039,-0.172,0.092,0.0,DECOUPLED
46.750_-122.950__c479,GOLD,12.0,3528,0.233,0.068,0.435,0.04,SHALLOW-COUPLED
46.750_-123.100__c492,GOLD,11.4,3420,0.215,0.132,0.318,0.19,SHALLOW-COUPLED
46.800_-123.050__c44,FAIL,1.7,3625,0.142,-0.029,0.315,0.03,DECOUPLED
46.800_-123.200__c107,other,7.4,3143,-0.102,-0.335,0.143,0.0,DECOUPLED
46.850_-122.650__c758,other,3.8,3589,0.503,0.459,0.535,0.87,SHALLOW-COUPLED
46.850_-122.800__c1207,GOLD,33.5,3623,0.098,-0.139,0.336,0.01,DECOUPLED
46.850_-122.950__c687,GOLD,17.9,3625,-0.152,-0.298,0.008,0.02,DECOUPLED
46.850_-123.050__c20,GOLD,21.0,3626,0.015,-0.164,0.227,0.0,DECOUPLED
46.850_-123.050__c606,GOLD,25.0,3619,0.222,0.035,0.421,0.04,SHALLOW-COUPLED
46.900_-122.650__c276,FAIL,0.1,932,-0.408,-1.328,0.3,0.01,DECOUPLED
46.900_-122.850__c891,GOLD,22.7,3606,0.527,0.466,0.596,0.65,SHALLOW-COUPLED
