fam,tier,coda_sigma,n,slope,ci_lo,ci_hi,r2,cls
48.400_-123.450__c723,other,9.2,6666,0.805,0.565,1.065,0.12,SHALLOW-COUPLED
48.450_-123.900__c931,other,5.0,6648,1.021,0.72,1.348,0.09,SHALLOW-COUPLED
48.500_-123.450__c603,FAIL,4.5,3750,0.927,0.663,1.227,0.19,SHALLOW-COUPLED
48.500_-123.750__c43,GOLD,24.5,6681,0.638,0.423,0.838,0.11,SHALLOW-COUPLED
48.500_-123.950__c418,other,9.4,2504,1.153,0.79,1.556,0.27,SHALLOW-COUPLED
48.500_-124.000__c1086,FAIL,3.9,6140,0.613,0.395,0.813,0.08,SHALLOW-COUPLED
48.500_-124.000__c424,FAIL,1.3,1117,0.85,0.704,1.064,0.33,SHALLOW-COUPLED
48.550_-123.550__c325,other,10.5,5573,0.888,0.636,1.175,0.12,SHALLOW-COUPLED
48.550_-123.650__c207,other,7.4,3495,0.216,0.045,0.374,0.05,SHALLOW-COUPLED
48.550_-124.200__c113,GOLD,19.0,3026,0.785,0.531,1.028,0.19,SHALLOW-COUPLED
48.550_-124.300__c234,GOLD,21.6,4743,-0.093,-0.219,0.038,0.01,DECOUPLED
48.600_-123.700__c526,other,8.9,6601,0.883,0.596,1.203,0.08,SHALLOW-COUPLED
48.650_-123.600__c682,GOLD,20.3,3751,0.424,0.145,0.672,0.04,SHALLOW-COUPLED
48.650_-124.500__c369,other,5.2,5575,0.651,0.279,0.962,0.04,SHALLOW-COUPLED
48.700_-124.200__c127,other,12.1,6659,0.575,0.391,0.764,0.08,SHALLOW-COUPLED
48.750_-123.550__c705,other,9.5,6679,0.77,0.536,1.009,0.15,SHALLOW-COUPLED
48.750_-123.700__c1104,other,5.4,6348,0.985,0.628,1.343,0.09,SHALLOW-COUPLED
48.750_-124.350__c523,FAIL,3.8,3371,0.314,0.036,0.528,0.04,SHALLOW-COUPLED
48.750_-124.400__c193,other,11.7,5883,0.689,0.392,0.989,0.05,SHALLOW-COUPLED
48.800_-123.550__c906,other,8.9,674,0.064,-0.053,0.135,0.01,DECOUPLED
48.800_-123.700__c375,other,12.2,6664,0.812,0.596,1.079,0.14,SHALLOW-COUPLED
48.800_-123.700__c67,FAIL,3.4,6682,0.815,0.613,1.072,0.1,SHALLOW-COUPLED
48.800_-123.800__c370,other,9.5,2271,0.03,-0.173,0.201,0.0,DECOUPLED
48.800_-124.000__c736,other,12.1,6621,1.046,0.769,1.34,0.12,SHALLOW-COUPLED
48.800_-124.000__c759,other,9.1,6557,0.973,0.682,1.278,0.1,SHALLOW-COUPLED
48.800_-124.000__c958,other,7.7,3175,0.353,0.219,0.502,0.08,SHALLOW-COUPLED
48.850_-123.700__c871,GOLD,36.0,2155,0.209,0.055,0.364,0.06,SHALLOW-COUPLED
48.850_-123.900__c978,FAIL,2.1,2414,0.305,0.141,0.461,0.08,SHALLOW-COUPLED
48.850_-124.700__c344,other,6.5,6662,0.957,0.726,1.203,0.17,SHALLOW-COUPLED
48.850_-124.850__c63,GOLD,30.3,6411,0.26,0.155,0.36,0.05,SHALLOW-COUPLED
48.900_-123.650__c1116,GOLD,21.0,6672,0.163,0.064,0.285,0.02,SHALLOW-COUPLED
48.900_-123.750__c944,GOLD,15.7,6676,0.842,0.63,1.077,0.15,SHALLOW-COUPLED
48.900_-123.850__c1199,other,10.0,6546,0.748,0.527,0.989,0.1,SHALLOW-COUPLED
48.900_-123.850__c177,FAIL,3.4,531,-0.5,-1.52,0.062,0.02,DECOUPLED
48.900_-124.050__c133,GOLD,18.0,6462,-0.046,-0.213,0.167,0.0,DECOUPLED
48.900_-124.200__c698,FAIL,3.2,159,0.216,-0.046,0.353,0.07,DECOUPLED
48.900_-124.350__c1093,other,9.6,6430,0.498,0.297,0.707,0.06,SHALLOW-COUPLED
48.900_-124.450__c830,other,12.8,6663,0.402,0.275,0.541,0.1,SHALLOW-COUPLED
48.950_-123.950__c872,other,6.6,1526,0.188,0.069,0.289,0.07,SHALLOW-COUPLED
48.950_-124.250__c528,other,11.3,6418,0.576,0.312,0.837,0.04,SHALLOW-COUPLED
48.950_-124.650__c660,other,14.3,5442,0.177,0.036,0.302,0.03,SHALLOW-COUPLED
48.950_-124.950__c235,GOLD,16.3,6682,0.367,0.223,0.516,0.07,SHALLOW-COUPLED
49.000_-123.800__c361,FAIL,0.8,169,-0.141,-0.368,0.14,0.01,DECOUPLED
49.000_-124.200__c1087,FAIL,1.2,1564,-0.131,-0.271,0.052,0.02,DECOUPLED
49.000_-124.700__c1205,other,5.9,6667,0.997,0.666,1.285,0.1,SHALLOW-COUPLED
49.000_-124.950__c159,other,11.9,5539,0.309,0.131,0.469,0.02,SHALLOW-COUPLED
49.000_-125.250__c82,other,11.9,6670,0.806,0.574,1.014,0.12,SHALLOW-COUPLED
49.050_-124.100__c288,other,11.9,6097,0.088,-0.194,0.342,0.0,DECOUPLED
49.050_-125.050__c520,other,14.7,6538,0.23,0.048,0.4,0.02,SHALLOW-COUPLED
49.050_-125.100__c274,GOLD,19.0,5873,0.21,0.066,0.385,0.02,SHALLOW-COUPLED
