patch,date,dvv,cc_max,n_stack
47.800_-123.400__c198,2005-07-04,0.0015911800652804,0.9748510916710478,5
47.800_-123.400__c198,2005-07-05,0.0016820159546749,0.9761468622178976,6
47.800_-123.400__c198,2005-07-06,0.0016620485637684,0.9816201834271616,7
47.800_-123.400__c198,2005-07-07,0.0013476880997661,0.983216562325252,8
47.800_-123.400__c198,2005-07-08,0.0015020988117583,0.9834999634296878,9
47.800_-123.400__c198,2005-07-09,0.0013012129523558,0.9842289617876746,10
47.800_-123.400__c198,2005-07-10,0.0011248268002768,0.9876473992263688,11
47.800_-123.400__c198,2005-07-11,0.0009310851878499,0.991146242969019,12
47.800_-123.400__c198,2005-07-12,0.0007767965473602,0.9934291780414748,13
47.800_-123.400__c198,2005-07-13,0.0010369109024314,0.993787286671802,14
47.800_-123.400__c198,2005-07-14,0.0010186526397092,0.99352131101032,15
47.800_-123.400__c198,2005-07-15,0.0009449348605117,0.9940391390055204,16
47.800_-123.400__c198,2005-07-16,0.0005638043347063,0.9945820673399486,17
47.800_-123.400__c198,2005-07-17,0.0004587041948615,0.9946069200479108,18
47.800_-123.400__c198,2005-07-18,0.0003599559083859,0.994850347121696,19
47.800_-123.400__c198,2005-07-19,0.0003109103050966,0.9950067574118184,20
47.800_-123.400__c198,2005-07-20,0.0003426020903031,0.9945099673618344,21
47.800_-123.400__c198,2005-07-21,0.0004176405200839,0.9938868617847774,22
47.800_-123.400__c198,2005-07-22,0.0004096300215734,0.9942324120392336,23
47.800_-123.400__c198,2005-07-23,0.0008182099829048,0.9931466915955351,24
47.800_-123.400__c198,2005-07-24,0.000915909941314,0.9925927913240998,25
47.800_-123.400__c198,2005-07-25,0.0007347199896487,0.9932901561368608,26
47.800_-123.400__c198,2005-07-26,0.000742820763047,0.993285840045978,27
47.800_-123.400__c198,2005-07-27,0.0007340621054118,0.9931432295322232,28
47.800_-123.400__c198,2005-07-28,0.0006512073195527,0.9934832878589128,29
47.800_-123.400__c198,2005-07-29,0.0006405083543627,0.9941263341935396,30
47.800_-123.400__c198,2005-07-30,0.0006337243619361,0.9937334682745416,30
47.800_-123.400__c198,2005-07-31,0.0007185841807755,0.9926887051799124,30
47.800_-123.400__c198,2005-08-01,0.0004418732131235,0.9934259206610356,30
47.800_-123.400__c198,2005-08-02,0.0003197051330999,0.9933151824236074,30
47.800_-123.400__c198,2005-08-03,0.0003917080772329,0.9941149390043033,30
47.800_-123.400__c198,2005-08-04,0.0004635375418411,0.9939901085398374,30
47.800_-123.400__c198,2005-08-05,0.0003383904203155,0.9940813817452132,30
47.800_-123.400__c198,2005-08-06,0.0002907482764343,0.9944959930428988,30
47.800_-123.400__c198,2005-08-07,0.0005077404590813,0.9945681194896256,30
47.800_-123.400__c198,2005-08-08,0.0005987860355357,0.9943460049018258,30
47.800_-123.400__c198,2005-08-09,0.0006543646543399,0.9940839637072054,30
47.800_-123.400__c198,2005-08-10,0.0005950096430332,0.9936710849336186,30
47.800_-123.400__c198,2005-08-11,0.0007025109238007,0.9929498461652986,30
47.800_-123.400__c198,2005-08-12,0.0005641830361573,0.9920603746620285,30
47.800_-123.400__c198,2005-08-14,0.0006556047206269,0.9919903379633924,29
47.800_-123.400__c198,2005-08-15,0.0008838246114107,0.9899319385290398,29
47.800_-123.400__c198,2005-08-16,0.0007939570257015,0.9906866275521716,29
47.800_-123.400__c198,2005-08-17,0.0008512109648422,0.9903453401148988,29
47.800_-123.400__c198,2005-08-18,0.0007623637972769,0.990462756062857,29
47.800_-123.400__c198,2005-08-20,0.0007103973631261,0.9906944025081544,28
47.800_-123.400__c198,2005-08-21,0.0008044247468122,0.9901707554845012,28
47.800_-123.400__c198,2005-08-22,0.0004895881586088,0.9926979981745796,28
47.800_-123.400__c198,2005-08-23,0.0004271060970526,0.9932838226901392,28
47.800_-123.400__c198,2005-08-24,0.0005966628629704,0.9925824671599036,28
47.800_-123.400__c198,2005-08-25,0.0005624872108843,0.992801880214764,28
47.800_-123.400__c198,2005-08-26,0.0004737447175697,0.99241289189533,28
47.800_-123.400__c198,2005-08-27,0.0003064402275138,0.9925518630348,28
47.800_-123.400__c198,2005-08-28,0.0005853091720398,0.9899372569425792,28
47.800_-123.400__c198,2005-08-29,0.0006119009940933,0.989299297128284,28
47.800_-123.400__c198,2005-08-31,0.0007318368272096,0.9883242993186931,27
47.800_-123.400__c198,2005-09-01,0.0006989380906341,0.988951935692712,27
47.800_-123.400__c198,2005-09-02,0.0008853519480921,0.9876798063418032,27
47.800_-123.400__c198,2005-09-03,0.000729048625731,0.98806551630657,27
47.800_-123.400__c198,2005-09-04,0.0007597931277537,0.9877735040404632,27
47.800_-123.400__c198,2005-09-05,0.0011074572339313,0.9864427598314568,27
47.800_-123.400__c198,2005-09-06,0.0009107797770651,0.9897555658391224,27
47.800_-123.400__c198,2005-09-07,0.0009526660183124,0.990363909164292,27
47.800_-123.400__c198,2005-09-08,0.0008519840703808,0.9907851918698104,27
47.800_-123.400__c198,2005-09-09,0.0011056493268392,0.9909496151333532,27
47.800_-123.400__c198,2005-09-10,0.0012561615265714,0.991694075144604,27
47.800_-123.400__c198,2005-09-11,0.0014463808922405,0.993014995916774,27
47.800_-123.400__c198,2005-09-12,0.0015617529587556,0.9934634347457536,28
47.800_-123.400__c198,2005-09-13,0.0015191618650892,0.9911424583706592,28
47.800_-123.400__c198,2005-09-14,0.0015004301905169,0.9903930171117474,28
47.800_-123.400__c198,2005-09-15,0.0018582287045883,0.9897340337062872,28
47.800_-123.400__c198,2005-09-16,0.0020907412774941,0.9892308777729668,28
47.800_-123.400__c198,2005-09-17,0.002391124013678,0.9895084902460416,28
47.800_-123.400__c198,2005-09-18,0.0022653661440374,0.9899115402402217,29
47.800_-123.400__c198,2005-09-19,0.0022205303664092,0.9904279242021736,29
47.800_-123.400__c198,2005-09-20,0.0024439185517091,0.9887815736169736,29
47.800_-123.400__c198,2005-09-21,0.0025704145996121,0.986007790730752,29
