station,fam,n,wkratio,workhr,dn,midday_wd,identity
B001,47.150_-122.900__c263,730495,0.993491337813568,0.22414390242233007,0.7871976813334642,0.1176038165901204,NATURAL-like
B001,47.150_-122.950__c280,730130,1.0153388643010866,0.24228972922630215,0.8386480102193545,0.13155876350786846,NATURAL-like
B001,47.250_-122.850__c191,730453,1.0050229830940993,0.2927977570083222,0.9186823227272166,0.16318640624379666,NATURAL-like
B001,47.250_-123.150__c69,695918,1.0309232421067662,0.29182173761851254,0.9214744838332684,0.16663457476311863,NATURAL-like
B001,47.300_-122.800__c161,730505,1.0577128715447701,0.36002080752356247,0.9348902274856232,0.21666381475828364,NATURAL-like
B001,47.300_-123.200__c496,727287,1.078871223352506,0.40753375215011406,1.0389172800932056,0.25103982334346686,NATURAL-like
B001,47.350_-122.950__c582,624586,1.1762780101008372,0.4038659207859286,1.039504539016972,0.25774673143490245,FLAT-mixed
B001,47.400_-122.850__c245,729833,1.0327701829138882,0.30814446592576655,0.9339094026438723,0.17491535734887295,NATURAL-like
B001,47.500_-123.250__c558,730504,1.0321351887264778,0.3275026557007217,0.9197576010866159,0.18854379989705738,NATURAL-like
B001,47.550_-122.550__c26,719013,0.9819268788232991,0.21842998666227176,0.8331409927192532,0.11171008034625243,NATURAL-like
B001,47.550_-122.900__c665,730543,1.0896416303943166,0.3769757563894254,0.9263685284839488,0.23393421058034913,NATURAL-like
B001,47.550_-123.300__c47,689868,1.0483825932463784,0.3755848945015568,1.0285283039865896,0.2279928913937159,NATURAL-like
B001,47.600_-122.550__c163,730472,1.0480309189102213,0.3498929459308502,0.9347314511484466,0.20716742051714507,NATURAL-like
B001,47.600_-122.850__c651,729855,0.9993060965946491,0.316334066355646,0.99754879855698,0.1764172335600907,NATURAL-like
B001,47.600_-123.100__c473,729360,1.0068682962904947,0.34598277942305583,1.0343899698385475,0.1986481298672809,NATURAL-like
B001,47.600_-123.150__c67,725758,1.0945989913132443,0.37680742065537,0.9499681820052619,0.23534153257697468,NATURAL-like
B001,47.600_-123.350__c354,729883,1.0181291999986253,0.31902784418872615,0.9566837579869054,0.18465288272229932,NATURAL-like
B001,47.700_-122.700__c774,730489,0.9988335286069399,0.245983170177785,0.8302355970750211,0.131640585963649,NATURAL-like
B001,47.700_-123.150__c574,394498,1.8435030997514432,0.4838833149977947,1.0001696003488922,0.3574973764125547,BLAST
B001,47.700_-123.550__c23,730221,1.0071124383578078,0.32163276597084994,0.9888382198835431,0.18030842717478682,NATURAL-like
B001,47.750_-122.800__c627,730506,1.1155387320186108,0.4116557564208918,0.9532606740083517,0.2665508565295836,NATURAL-like
B001,47.750_-123.050__c558,730325,1.0807331412751562,0.3698955944271386,0.9588513698867703,0.22885701571218292,NATURAL-like
B001,47.750_-123.400__c155,706029,0.9911866214472743,0.2699350876522069,0.9185764339683731,0.14766248978441396,NATURAL-like
B001,47.800_-122.850__c178,725905,1.0899573059443624,0.43051363470426574,1.03859135091321,0.26970609101741966,NATURAL-like
B001,47.800_-123.150__c178,730478,1.0188999896522506,0.3082036693781332,0.9095456568105446,0.17588483157603652,NATURAL-like
B001,47.850_-123.100__c671,730529,1.0196053678915633,0.2880159446100018,0.852814200577806,0.16195250291227317,NATURAL-like
B001,47.850_-123.350__c732,726361,1.0336230405552724,0.33496016443614124,0.9799029710321169,0.19247316417043317,NATURAL-like
B001,47.900_-122.950__c77,730501,1.0489423941358202,0.35530136166822496,0.9500802538143982,0.21089361958436745,NATURAL-like
B001,47.900_-123.000__c724,730470,1.0056771981395831,0.2774816214218243,0.8774558885363131,0.1542513724040686,NATURAL-like
B001,47.900_-123.000__c803,730465,1.0079691907740969,0.3004127507820361,0.9150671121342796,0.16635293956589295,NATURAL-like
B001,47.900_-123.050__c505,730550,1.1139821280084685,0.41882828006296624,0.9601086140668462,0.2690548217096708,NATURAL-like
B001,47.900_-123.150__c186,727912,1.0714561817246495,0.39721010232006065,1.0064439435375432,0.24256778291881437,NATURAL-like
B001,47.950_-122.800__c589,730368,1.0494614329716359,0.36942199001051523,0.9812568100575391,0.21833240229582895,NATURAL-like
B001,47.950_-123.150__c497,730466,1.0325378041914486,0.33321742558859685,0.9480444797259708,0.19163109576626428,NATURAL-like
