kind,fam,nwin,coda,coda_sigma,s_amp,daynight_cc,verdict
F,42.400_-123.200__c455,242,0.941727876663208,20.718267639502358,2.7795212268829346,0.8599159198122241,TRUSTED
F,42.750_-123.550__c448,249,0.5144975781440735,9.095395352439429,1.8188022375106812,0.34325978765986764,TRUSTED
F,42.900_-123.350__c777,247,1.3044031858444214,30.58491055994942,1.3546916246414185,0.9267672477018964,TRUSTED
F,42.950_-123.300__c639,248,0.4617157280445099,7.659456223336086,1.931573748588562,0.597101760756142,TRUSTED
F,43.600_-123.800__c435,241,0.23032286763191223,1.3643744511959273,2.5603814125061035,-0.0004290014836020685,FAIL
F,42.500_-123.550__c749,249,1.214097499847412,28.128129150070468,1.8581690788269043,0.8845195904470514,TRUSTED
F,42.650_-123.450__c631,247,0.317200243473053,3.727888105393186,2.8424232006073,0.5112698319561005,UNDETERMINED
F,42.850_-123.550__c254,248,0.1686137318611145,-0.3144329894165403,2.1157310009002686,-0.22576892095039777,FAIL
F,43.100_-123.500__c698,210,0.6485233306884766,11.30378056646074,1.1933015584945679,0.5189755296151785,TRUSTED
F,43.500_-123.400__c305,246,0.6123028993606567,11.756205602638948,2.34775447845459,0.6152577367496513,TRUSTED
F,43.700_-123.550__c98,238,1.1138172149658203,25.874543618541843,2.6107773780822754,0.7928060281542033,TRUSTED
F,42.650_-123.650__c120,249,1.6338130235671997,39.54656072199312,1.792263150215149,0.674452540915115,TRUSTED
F,42.750_-123.350__c771,237,0.3136392831802368,3.5597890778499215,2.734746217727661,0.2429175989931629,UNDETERMINED
F,43.750_-123.550__c583,248,1.0948065519332886,24.88279880385104,2.0135610103607178,0.7698456066464401,TRUSTED
F,42.550_-123.500__c335,250,0.6449884176254272,12.945471720032689,1.7903696298599243,0.7829246908884769,TRUSTED
F,42.600_-123.100__c286,250,1.4317466020584106,34.85852884447721,1.938264012336731,0.8872864558904143,TRUSTED
F,43.100_-123.450__c172,248,0.4434131383895874,7.16153118660755,2.1419284343719482,0.5818190953387138,UNDETERMINED
F,43.550_-123.300__c1221,249,0.26567909121513367,2.3262464735806416,2.1225712299346924,0.5559639841293623,UNDETERMINED
F,43.800_-123.350__c417,248,0.8504951596260071,18.23626619391049,2.3553411960601807,0.8498531006071155,TRUSTED
F,44.000_-123.350__c204,227,0.16684775054454803,-0.3993857314528198,2.984097957611084,-0.06606320194669763,FAIL
F,42.400_-123.500__c1072,249,0.4500780403614044,7.342850968216517,1.5980674028396606,0.786323185756431,UNDETERMINED
F,42.750_-123.400__c670,250,1.6446328163146973,40.7879082475867,1.8991451263427734,0.9069201296301816,TRUSTED
F,43.200_-123.300__c772,245,1.0045151710510254,22.426406567030085,1.8693673610687256,0.8067576175194797,TRUSTED
F,43.450_-123.450__c566,233,0.5540478229522705,10.264119879035555,1.9982573986053467,0.4829417579062995,TRUSTED
F,42.500_-123.650__c780,247,1.787087321281433,43.71641382790997,2.1417529582977295,0.928602002546924,TRUSTED
F,42.550_-124.000__c35,249,1.2245854139328003,28.413454620653155,1.8440357446670532,0.9060840244599327,TRUSTED
F,42.750_-123.400__c887,248,0.8583373427391052,18.449614107415787,1.8976064920425415,0.7761193586565317,TRUSTED
F,43.000_-123.300__c532,241,0.9496638178825378,20.934166258091974,2.334352731704712,0.7522437727044309,TRUSTED
F,43.600_-123.050__c167,239,0.5945000052452087,11.392219621161564,1.609078288078308,0.6730771237216039,TRUSTED
F,42.450_-123.250__c387,248,0.38969218730926514,5.700043657023606,2.356262445449829,0.24599911263047336,UNDETERMINED
F,42.600_-123.400__c803,246,1.2500677108764648,29.106704804415493,2.4902350902557373,0.8181146674982399,TRUSTED
F,42.600_-123.650__c231,249,0.7364287972450256,15.133071577799695,1.894813895225525,0.4756773008191718,TRUSTED
F,42.700_-123.300__c341,246,0.9779558181762695,21.703854895109046,2.0585696697235107,0.8510449587979018,TRUSTED
F,42.900_-123.100__c441,249,1.363999605178833,32.206241193781075,1.5329444408416748,0.8830054580439015,TRUSTED
F,42.950_-123.050__c189,249,1.570185661315918,37.81556760663425,1.6013703346252441,0.8871728155010692,TRUSTED
F,43.200_-123.600__c1396,246,0.44412970542907715,7.181025513704614,2.3847246170043945,0.4888031081135028,UNDETERMINED
F,42.500_-123.200__c1047,249,1.3789007663726807,32.61162979586607,2.561079502105713,0.8122104053785213,TRUSTED
F,43.200_-123.250__c571,248,1.1793525218963623,27.18288616814328,1.8841873407363892,0.8378088489143315,TRUSTED
F,43.200_-123.450__c1127,248,0.7630853652954102,15.858268004960737,1.645997405052185,0.717366876856429,TRUSTED
F,43.200_-123.500__c1050,250,0.8860442638397217,19.659441314237903,1.7210139036178589,0.708815689647128,TRUSTED
F,43.300_-123.600__c255,250,0.47999390959739685,8.3499884429905,2.077502965927124,0.3726129471188339,TRUSTED
F,43.950_-123.650__c118,247,0.44103434681892395,7.096815760947905,2.3052010536193848,0.561720375810144,UNDETERMINED
F,42.650_-123.250__c914,248,1.004470705986023,22.425196887441462,2.102712869644165,0.9485816247441184,TRUSTED
F,42.850_-123.450__c644,230,0.3640183210372925,4.964721429917916,2.801704168319702,0.2875563515996928,UNDETERMINED
F,43.550_-123.600__c957,249,0.9434121251106262,20.764087902418822,2.0189199447631836,0.8623382514365596,TRUSTED
F,42.500_-123.500__c459,248,0.3690045475959778,5.137232931422549,2.2488725185394287,-0.10461225574830559,UNDETERMINED
F,42.500_-123.650__c484,248,1.4168192148208618,33.6432075776021,1.8802622556686401,0.9357374254700312,TRUSTED
F,42.650_-123.700__c591,247,1.138281226158142,26.065534644423703,2.212214469909668,0.8803326922592862,TRUSTED
F,43.400_-123.500__c1530,226,0.18201269209384918,0.017416044571788324,2.318092107772827,-0.033701310751157024,FAIL
F,42.600_-123.350__c986,239,0.3253381848335266,3.886039163510632,1.9723345041275024,0.355840945510184,UNDETERMINED
F,43.850_-123.650__c317,250,1.1014668941497803,25.659465841830865,2.0599756240844727,0.9148016363171073,TRUSTED
F,43.400_-123.200__c355,240,0.6114020347595215,11.731697429311298,1.5398344993591309,0.39076367695971304,TRUSTED
F,43.650_-123.450__c1300,247,0.6002068519592285,11.427130594119244,1.8218945264816284,0.34650168284645244,TRUSTED
F,42.500_-123.400__c174,249,1.070907473564148,24.23262034828303,2.4708282947540283,0.7702335984667584,TRUSTED
F,43.000_-123.250__c1416,247,0.6081551313400269,11.643364874471384,2.3361191749572754,0.6144313928936467,TRUSTED
F,43.050_-123.600__c1454,239,0.28252312541007996,2.692045298236973,2.4478981494903564,0.6141075737989582,UNDETERMINED
F,43.750_-123.500__c1186,249,0.9860368967056274,21.92370199868297,2.3255932331085205,0.7745127480598114,TRUSTED
F,42.400_-123.600__c879,247,0.704073429107666,14.252838333657268,1.573086142539978,0.777265092522514,TRUSTED
F,43.250_-123.400__c86,250,0.5674127340316772,10.784807338405939,1.9309824705123901,0.6018605334840692,TRUSTED
F,43.350_-123.400__c1019,201,1.1574697494506836,26.719865700012242,1.7170847654342651,0.569320792185168,TRUSTED
F,43.800_-123.500__c625,244,0.33286795020103455,4.154130707946643,1.8962225914001465,0.13120252471880567,UNDETERMINED
F,42.600_-123.150__c115,249,1.452773094177246,34.62133892603924,1.4512875080108643,0.8752756557092926,TRUSTED
F,43.350_-123.350__c706,249,0.7613524198532104,15.81112293209266,1.968319058418274,0.5220076969083876,TRUSTED
F,43.450_-123.100__c132,249,1.2927285432815552,30.26729994109668,1.83576238155365,0.9165304756692538,TRUSTED
F,43.450_-123.500__c1385,221,0.37992343306541443,5.456906072483962,2.353437900543213,-0.259896719149499,UNDETERMINED
F,42.400_-123.350__c537,248,0.7894675135612488,16.57599879562578,1.714740514755249,0.9307872033707001,TRUSTED
F,42.500_-123.300__c340,249,1.1899826526641846,27.47208066754427,1.9068481922149658,0.8741252199468853,TRUSTED
R,42.400_-123.200__c455,249,0.2445702999830246,1.7519782499188568,1.7247540950775146,0.5918835866853179,
R,42.400_-123.500__c1072,250,0.3053099811077118,3.4846321245486536,2.4724080562591553,0.12843625326903232,
R,42.500_-123.550__c749,249,0.22213439643383026,1.1416057119667797,1.792346715927124,0.3250929675339156,
R,42.500_-123.650__c484,250,0.2555374205112457,2.0983498015165996,1.6138310432434082,0.5346656975951233,
R,42.500_-123.800__c314,249,0.3935772478580475,5.805737384136411,2.4032058715820312,0.6028051711350991,
R,42.550_-123.500__c335,249,0.37926235795021057,5.416298391211843,1.8913383483886719,0.15300099644009246,
R,42.700_-123.300__c341,249,0.26588043570518494,2.331724084372014,1.8004727363586426,0.3342246616010868,
R,42.750_-123.400__c670,250,0.14077620208263397,-1.09801877126084,1.5096930265426636,0.5205810285856137,
R,42.750_-123.550__c448,250,0.12864328920841217,-1.4359487962155122,2.0650856494903564,-0.18287369415004975,
R,42.800_-123.650__c279,250,0.1434006541967392,-1.0249216364172993,1.893436074256897,0.33598728256026805,
R,42.850_-123.550__c254,249,0.13298310339450836,-1.2837702429086502,1.8845354318618774,-0.40442300469324277,
R,42.900_-123.550__c983,247,0.13374948501586914,-1.2629207017148165,1.7843055725097656,-0.07586531960736584,
R,42.950_-123.050__c189,249,0.35645678639411926,4.795868972819241,1.643229365348816,0.5618374577970299,
R,43.000_-123.300__c532,247,0.39695027470588684,5.897501148104372,2.1748194694519043,0.5310964606857921,
R,43.100_-123.650__c863,250,0.4121319353580475,6.459873605283191,1.8903453350067139,0.5312725402806725,
R,43.200_-123.300__c772,246,0.4086754322052002,6.21648603431818,2.3929927349090576,0.3624953938243054,
R,43.200_-123.500__c1050,250,0.14253613352775574,-1.0490005607672896,1.9721013307571411,-0.0831773063748021,
R,43.250_-123.350__c637,247,0.5804972052574158,10.890926333250231,1.8277995586395264,0.8876301438643796,
R,43.350_-123.350__c706,250,0.12895970046520233,-1.4271360020405688,2.28812837600708,-0.1370596717517377,
R,43.350_-123.350__c755,250,0.3939523994922638,5.953530975736971,2.0250391960144043,0.4261264558123232,
R,43.400_-123.300__c468,250,0.1433066576719284,-1.027539659665653,1.8083758354187012,0.2056513545816468,
R,43.450_-123.650__c762,250,0.16137740015983582,-0.5242271803629709,2.024745464324951,0.2677039340513624,
R,43.500_-123.700__c150,250,0.10555906593799591,-2.07889845114999,1.7135485410690308,0.2557747197922454,
R,43.600_-123.050__c167,249,0.4710689187049866,7.913911351870003,2.509554147720337,0.4663286606747717,
R,43.600_-123.800__c435,250,0.3731748163700104,5.374826648442342,2.829080820083618,0.4312101288324105,
R,43.750_-123.700__c403,248,0.16610699892044067,-0.38262908161368747,1.5382764339447021,0.4037002831973716,
R,43.800_-123.350__c417,249,0.22245566546916962,1.1503458902277324,1.706553339958191,0.5132725566716698,
R,43.850_-123.650__c317,249,0.22844865918159485,1.313386294380084,1.825303316116333,0.39125984954257764,
R,44.000_-123.500__c275,250,0.42921391129493713,6.93564662157945,2.0007402896881104,0.5259430393486387,
F,43.450_-123.500__c1279,214,0.8861944079399109,17.20048039847286,2.1517183780670166,0.7775110112740302,TRUSTED
F,43.200_-123.800__c156,249,1.240673303604126,28.85112837100821,2.0504183769226074,0.900651400203012,TRUSTED
F,43.350_-123.350__c755,249,0.7344465851783752,15.07914516439594,1.6463702917099,0.8218744762857194,TRUSTED
F,42.600_-123.700__c223,247,0.6837360858917236,13.699557483314024,2.378473997116089,0.8066161524684012,TRUSTED
F,42.600_-123.450__c733,230,0.3311918079853058,4.0492805609760465,2.864015579223633,0.06808652785962986,UNDETERMINED
F,42.450_-123.600__c1099,250,0.5629304647445679,10.659965646410884,2.1844916343688965,0.7464550306825032,TRUSTED
F,43.500_-123.700__c150,248,1.302198886871338,30.52494223482019,2.205374002456665,0.9214823261748728,TRUSTED
F,43.550_-123.700__c310,250,1.2621220350265503,30.134087585874784,1.9704296588897705,0.9418572719255472,TRUSTED
F,43.750_-123.700__c403,248,1.664616346359253,40.38457031089678,1.9607605934143066,0.9533209579624881,TRUSTED
F,42.800_-123.650__c279,248,1.004865288734436,22.435931577624675,2.284998655319214,0.9470342607494299,TRUSTED
F,43.750_-123.350__c266,244,0.46744439005851746,7.8153054390760515,2.6575827598571777,0.48609505755645244,TRUSTED
F,42.450_-123.400__c454,241,1.0121670961380005,22.634578478863958,2.203016757965088,0.7600765885163991,TRUSTED
F,43.900_-123.400__c400,250,1.132300853729248,26.518263793992805,2.070063591003418,0.896508916180808,TRUSTED
F,42.500_-123.800__c314,243,0.7970011234283447,16.780951921959097,1.8012043237686157,0.7426850958009427,TRUSTED
F,43.350_-123.200__c124,248,1.0218913555145264,22.899128594366996,2.2194228172302246,0.8590932147475372,TRUSTED
F,44.000_-123.500__c275,246,0.7378458976745605,15.171624033857979,2.1660232543945312,0.3770251574249299,TRUSTED
F,43.000_-123.550__c574,249,0.9680479168891907,21.434308770473912,2.384286880493164,0.8535010496693014,TRUSTED
F,43.750_-123.650__c177,250,0.9286229014396667,20.84535604187566,1.8342396020889282,0.7256775678312906,TRUSTED
F,43.300_-123.400__c1230,249,0.25572794675827026,2.055523911222257,2.080456018447876,0.6717248332729467,UNDETERMINED
F,42.750_-123.300__c218,246,0.15893515944480896,-0.5777401834655858,2.710449457168579,0.08098653659837098,FAIL
F,43.800_-123.450__c630,244,0.3304252028465271,4.087675354406849,2.6781468391418457,0.27018909949834913,UNDETERMINED
F,43.450_-123.650__c762,250,0.6796406507492065,13.910617528434031,2.162297248840332,0.7491786060723103,TRUSTED
F,42.900_-123.700__c940,249,1.3092961311340332,30.71802396133005,2.13804030418396,0.9650389609449659,TRUSTED
F,43.100_-123.650__c863,247,0.592741072177887,11.224022796702618,2.4446091651916504,0.6642763713188883,TRUSTED
F,43.250_-123.350__c1060,246,0.24231486022472382,1.690618631107271,2.4192051887512207,0.018308943280364916,FAIL
F,43.200_-123.450__c400,244,0.7785167098045349,16.278080333507923,1.83009672164917,0.8111481146311281,TRUSTED
F,43.000_-123.450__c611,250,0.7266846299171448,15.220902471464097,2.0097525119781494,0.6771200831816848,TRUSTED
F,43.500_-123.300__c944,236,0.6824957728385925,13.84617876757839,2.1691737174987793,0.6570774747887396,TRUSTED
F,42.400_-123.450__c988,249,1.0105440616607666,22.59042355232486,1.7851513624191284,0.844786251753758,TRUSTED
F,42.900_-123.550__c983,249,1.0780380964279175,24.426610145261563,2.121112585067749,0.764326195791598,TRUSTED
R,42.400_-123.600__c879,249,0.22715938091278076,1.2783112617504857,1.9662432670593262,0.4810019166347286,
R,42.450_-123.250__c387,250,0.18969185650348663,0.26439670888601585,2.3506722450256348,-0.35318335764223857,
R,42.500_-123.200__c1148,250,0.3159220516681671,3.78020313099136,2.0025622844696045,0.08287943500880317,
R,42.550_-123.000__c308,249,0.27895084023475647,2.687306642804852,1.9977178573608398,0.6678017208464048,
R,42.600_-123.400__c803,249,0.24830715358257294,1.8536399819953249,1.6946110725402832,0.4278035720304332,
R,42.600_-123.450__c733,249,0.28165584802627563,2.760896835741342,2.729062080383301,0.3922499852346404,
R,42.650_-123.650__c120,250,0.13589075207710266,-1.2340899900521387,1.897419810295105,-0.31994389660982847,
R,42.650_-123.700__c591,249,0.2269514799118042,1.2726552799741957,1.6165072917938232,0.46497793175898017,
R,42.750_-123.350__c771,249,0.26065877079963684,2.1896678104293885,2.672818422317505,0.4622823070984094,
R,42.900_-123.500__c1325,250,0.18689803779125214,0.18658231782167803,2.8210995197296143,-0.2530802574739217,
R,43.000_-123.250__c1416,250,0.24215109646320343,1.7255093413153715,2.4865753650665283,-0.03122123636119569,
R,43.000_-123.450__c611,250,0.27426618337631226,2.61998968865442,2.2316434383392334,0.3845518089952873,
R,43.050_-123.600__c1454,249,0.1816851943731308,0.04117835160704525,2.3182623386383057,0.13273702695195674,
R,43.100_-123.450__c172,250,0.2977432310581207,3.273880422991736,2.0793142318725586,0.1434329936967833,
R,43.200_-123.800__c156,250,0.16866439580917358,-0.3212672937180053,1.8027631044387817,-0.11705254592549437,
R,43.350_-123.400__c1019,233,0.21783439815044403,0.8880551942767615,2.1836490631103516,0.28094440568231666,
R,43.400_-123.150__c295,243,0.4568396806716919,7.526802532630219,2.362079620361328,0.5125830475876216,
R,43.400_-123.200__c355,249,0.19550000131130219,0.4170125030456411,2.0690672397613525,0.2805436130507085,
R,43.450_-123.450__c566,245,0.1607799232006073,-0.5275530745274627,2.2997848987579346,0.19852302851012235,
R,43.450_-123.500__c1143,244,0.20282217860221863,0.616213570503975,2.0154056549072266,0.29329335284829544,
R,43.450_-123.500__c1279,239,0.18111391365528107,-0.13597779335681226,2.1971633434295654,0.11884053759632711,
R,43.500_-123.300__c944,247,0.3898162543773651,5.703418922524565,2.17269229888916,0.48051179907622305,
R,43.550_-123.300__c1221,250,0.3250682055950165,4.034944927687706,2.1790521144866943,0.558324593865678,
R,43.650_-123.450__c1300,248,0.4524836540222168,7.408296093359915,2.219249725341797,0.6450071808226242,
R,43.750_-123.500__c1186,249,0.16271361708641052,-0.47494660641209635,1.983931303024292,0.5262698497837117,
R,43.750_-123.550__c583,250,0.2391020506620407,1.6405862783744003,2.092966079711914,0.02661323457160782,
R,43.750_-123.650__c177,250,0.40026018023490906,6.129217435029001,1.887163758277893,0.7232508547400828,
R,43.800_-123.450__c630,249,0.27123478055000305,2.477389938427605,2.6071135997772217,0.3435288298660767,
F,42.400_-123.250__c43,247,1.2547223567962646,29.233335231271578,1.9116432666778564,0.8893289516277442,TRUSTED
F,42.900_-123.500__c1325,242,0.29788506031036377,3.2024152915985664,2.416853904724121,0.4436108517149558,UNDETERMINED
F,43.150_-123.500__c1376,249,0.4868742525577545,8.343898123552318,2.1071958541870117,0.5542187743414195,TRUSTED
F,43.250_-123.350__c637,250,0.8686836957931519,19.175908855542907,2.2285268306732178,0.7936772248409335,TRUSTED
F,43.450_-123.500__c1143,234,0.7142062187194824,14.730495602746453,2.2701289653778076,0.4888397575961322,TRUSTED
F,42.400_-123.400__c70,249,1.1152712106704712,25.439543294410495,2.4016101360321045,0.8316471366447659,TRUSTED
F,42.500_-123.200__c1148,239,0.38355734944343567,5.509611017004811,2.6775734424591064,0.2835266988803306,UNDETERMINED
F,43.600_-123.300__c1210,243,0.6656814217567444,13.20837730214698,1.5693252086639404,0.4773259496128232,TRUSTED
F,43.800_-123.500__c60,243,0.42389702796936035,6.630592112902416,2.2410569190979004,0.6123253771301981,UNDETERMINED
F,43.400_-123.150__c295,229,0.6034148335456848,11.599469322303833,1.705207347869873,0.7146196975035936,TRUSTED
F,42.800_-123.400__c384,249,0.6891849637031555,13.847795122661243,2.5517730712890625,0.7601724430567274,TRUSTED
F,43.400_-123.300__c468,249,0.7143409848213196,14.532168917592324,1.9767818450927734,0.6410270815105126,TRUSTED
R,42.450_-123.600__c1099,249,0.4768124520778656,8.07016514543485,2.0028162002563477,0.5601998432210167,
R,42.500_-123.200__c1047,248,0.20025797188282013,0.5464538944685859,1.6381680965423584,0.027001202626307515,
R,42.600_-123.150__c115,250,0.38530346751213074,5.712637974181886,1.697961688041687,0.5631064612278154,
R,42.600_-123.700__c223,249,0.3187747001647949,3.770721465089487,2.4084274768829346,0.13143917458280185,
R,42.650_-123.250__c914,250,0.12900422513484955,-1.4258958857650328,1.9387972354888916,-0.10184716796558062,
R,42.650_-123.450__c631,249,0.18652912974357605,0.1729584298754185,2.0352888107299805,-0.2012762028046523,
R,42.750_-123.200__c858,250,0.20950813591480255,0.8163264775570248,2.779754400253296,0.0769570214503512,
R,42.750_-123.400__c887,250,0.3099617660045624,3.6141952230867127,2.100740909576416,0.16203040737140117,
R,43.200_-123.250__c571,249,0.24905507266521454,1.8739872467111753,1.7805222272872925,0.41075396794563535,
R,43.250_-123.350__c1060,247,0.18225550651550293,0.05669378957464448,2.336945056915283,0.10161875173041625,
R,43.550_-123.600__c957,248,0.13603879511356354,-1.2006396346106916,2.465067148208618,0.44716705375665694,
R,43.550_-123.700__c310,249,0.10653869807720184,-2.003194747153205,2.1782875061035156,0.1285757125443187,
F,42.550_-123.000__c308,247,1.232269287109375,28.6224956856499,1.5618150234222412,0.8625283108917798,TRUSTED
