cell,cell_lat,cell_lon,src_lat,src_lon,depth_km,frac_deep,n_pairs,n_sites,n_fam,depth_center,depth_mixed
39.80_-122.20,39.8,-122.2,39.9,-122.25,21.18,0.0,1,1,1,18.939886346416188,False
39.80_-122.80,39.8,-122.8,39.9,-122.8,12.0,0.0,3,3,5,13.372861616754914,False
39.80_-123.00,39.8,-123.0,39.9,-123.0,12.19,0.0,1,1,1,27.96127844712142,False
40.00_-122.40,40.0,-122.4,40.05,-122.425,19.5,0.0,5,5,18,16.825623115576768,False
40.00_-122.60,40.0,-122.6,40.075,-122.6,18.32,0.0,2,2,4,16.41500382409179,False
40.00_-122.80,40.0,-122.8,40.025000000000006,-122.775,12.96,0.0,2,2,8,13.223554216867416,False
40.20_-122.20,40.2,-122.2,40.1875,-122.225,28.075,0.5,2,2,5,23.496832939331643,True
40.20_-122.40,40.2,-122.4,40.225,-122.375,25.83,0.2222222222222222,9,9,34,28.001859722000304,False
40.20_-122.60,40.2,-122.6,40.3,-122.6,17.785,0.0,8,8,23,16.485546558705046,False
40.20_-122.80,40.2,-122.8,40.275,-122.75,23.69,0.3076923076923077,13,13,51,12.318276422763851,True
40.20_-123.00,40.2,-123.0,40.3,-123.01249999999999,39.400000000000006,1.0,2,2,6,42.22760139130369,False
40.40_-122.40,40.4,-122.4,40.45,-122.5,29.08,0.5,12,12,45,22.321011496666166,True
40.40_-122.60,40.4,-122.6,40.45,-122.6,19.485,0.0,20,20,96,17.11538539553743,False
40.40_-122.80,40.4,-122.8,40.4,-122.75,27.03,0.2857142857142857,21,21,94,18.697006975269222,False
40.40_-123.00,40.4,-123.0,40.45,-122.95,32.5,0.6,5,5,7,25.46251197445434,True
40.60_-122.00,40.6,-122.0,40.6,-121.95,12.94,0.0,1,1,1,14.80505691056969,False
40.60_-122.40,40.6,-122.4,40.625,-122.5,21.9,0.0,8,8,10,19.787582417586965,False
40.60_-122.60,40.6,-122.6,40.65,-122.65,21.74,0.0,21,21,101,17.928773415591948,False
40.60_-122.80,40.6,-122.8,40.6,-122.75,20.31,0.0,20,20,130,24.019982582732133,False
40.60_-123.00,40.6,-123.0,40.6,-122.975,23.21,0.2727272727272727,11,11,27,37.56073113616461,False
40.60_-123.20,40.6,-123.2,40.65,-123.15,35.59,1.0,3,3,3,28.90287091222349,False
40.80_-122.00,40.8,-122.0,40.9,-122.0,18.1,0.0,1,1,1,17.68757621951211,False
40.80_-122.40,40.8,-122.4,40.75,-122.45,17.74,0.0,3,3,4,16.802988904298893,False
40.80_-122.60,40.8,-122.6,40.7,-122.625,21.34,0.05555555555555555,18,18,70,17.62906474820387,False
40.80_-122.80,40.8,-122.8,40.85,-122.8,18.47,0.0,26,26,251,19.61460574137426,False
40.80_-123.00,40.8,-123.0,40.85,-123.0,33.26,0.5714285714285714,21,21,162,23.05625511596135,True
40.80_-123.20,40.8,-123.2,40.85,-123.1875,29.845,0.5,10,10,16,31.777749391727994,True
41.00_-122.40,41.0,-122.4,41.05,-122.5,16.9,0.0,1,1,1,16.926257737556718,False
