tag,stem,cell,cell_lat,cell_lon,src_lat,src_lon,src_dep,n_fam,sta_lat,sta_lon,n_days,sigma_daily,site
ALSE,alse,43.60_-123.40,43.6,-123.4,43.7,-123.4,23.33,1,44.382,-123.59,2139,0.1345,0
ALSE,alse,43.60_-123.60,43.6,-123.6,43.6,-123.525,26.59,6,44.382,-123.59,2599,0.1468,0
ALSE,alse,43.80_-123.60,43.8,-123.6,43.8,-123.625,29.7,4,44.382,-123.59,2579,0.2097,0
ALSE,alse,44.00_-123.60,44.0,-123.6,44.025,-123.575,26.17,4,44.382,-123.59,2592,0.2076,0
ALSE,alse,44.20_-123.40,44.2,-123.4,44.275,-123.45,34.39,2,44.382,-123.59,254,0.5084,0
ALSE,alse,44.40_-123.60,44.4,-123.6,44.5,-123.6,27.68,9,44.382,-123.59,2598,0.1995,0
ALSE,alse,44.40_-123.80,44.4,-123.8,44.45,-123.75,24.53,1,44.382,-123.59,2347,0.2314,0
ALSE,alse,44.60_-123.20,44.6,-123.2,44.65,-123.3,33.93,1,44.382,-123.59,416,0.4742,0
ALSE,alse,44.60_-123.40,44.6,-123.4,44.625,-123.425,24.11,6,44.382,-123.59,2592,0.13,0
ALSE,alse,44.60_-123.60,44.6,-123.6,44.6,-123.6,28.81,12,44.382,-123.59,2596,0.1505,0
ALSE,alse,44.60_-123.80,44.6,-123.8,44.575,-123.8,19.99,2,44.382,-123.59,2434,0.2353,0
ALSE,alse,44.60_-124.00,44.6,-124.0,44.6,-123.9,18.46,1,44.382,-123.59,1982,0.1343,0
ALSE,alse,44.80_-123.00,44.8,-123.0,44.8,-122.95,41.44,1,44.382,-123.59,2583,0.1789,0
ALSE,alse,44.80_-123.20,44.8,-123.2,44.75,-123.25,38.02,2,44.382,-123.59,2593,0.174,0
ALSE,alse,44.80_-123.40,44.8,-123.4,44.7,-123.4,29.65,7,44.382,-123.59,2490,0.2204,0
ALSE,alse,44.80_-123.60,44.8,-123.6,44.8,-123.575,30.03,14,44.382,-123.59,2596,0.2024,0
ALSE,alse,45.00_-123.20,45.0,-123.2,45.025,-123.25,30.21,2,44.382,-123.59,2593,0.1618,0
ALSE,alse,45.00_-123.40,45.0,-123.4,44.95,-123.45,26.5,7,44.382,-123.59,2593,0.0834,0
ALSE,alse,45.00_-123.60,45.0,-123.6,44.95,-123.55,26.35,6,44.382,-123.59,2591,0.1673,0
ALSE,alse,45.00_-123.80,45.0,-123.8,45.0,-123.75,46.79,1,44.382,-123.59,2554,0.2305,0
ALSE,alse,45.20_-123.00,45.2,-123.0,45.25,-123.1,27.59,1,44.382,-123.59,2454,0.2054,0
ALSE,alse,45.20_-123.40,45.2,-123.4,45.175,-123.375,29.85,2,44.382,-123.59,2560,0.1125,0
ALSE,alse,45.20_-123.60,45.2,-123.6,45.15,-123.5,37.41,3,44.382,-123.59,2594,0.1078,0
ANGUS,angus,46.60_-123.20,46.6,-123.2,46.55,-123.15,45.28,1,47.101,-123.493,1405,0.4201,1
ANGUS,angus,46.80_-122.80,46.8,-122.8,46.8,-122.775,29.06,2,47.101,-123.493,1565,0.1668,1
ANGUS,angus,47.00_-122.80,47.0,-122.8,46.95,-122.8,40.13,1,47.101,-123.493,1600,0.168,1
ANGUS,angus,47.00_-123.00,47.0,-123.0,47.05,-123.0,41.26,3,47.101,-123.493,1534,0.1815,1
ANGUS,angus,47.00_-123.20,47.0,-123.2,47.05,-123.175,40.3,2,47.101,-123.493,1457,0.2535,1
ANGUS,angus,47.20_-122.80,47.2,-122.8,47.25,-122.9,28.37,1,47.101,-123.493,485,0.3878,1
ANGUS,angus,47.20_-123.00,47.2,-123.0,47.3,-123.1,46.14,1,47.101,-123.493,1577,0.2599,1
ANGUS,angus,47.20_-123.20,47.2,-123.2,47.2,-123.2,43.09,3,47.101,-123.493,1403,0.1766,1
ANGUS,angus,47.40_-122.80,47.4,-122.8,47.4,-122.875,28.7,6,47.101,-123.493,1588,0.1666,1
ANGUS,angus,47.40_-123.00,47.4,-123.0,47.4,-123.025,22.23,6,47.101,-123.493,1598,0.1594,1
ANGUS,angus,47.40_-123.20,47.4,-123.2,47.4,-123.2,43.1,2,47.101,-123.493,1449,0.2248,1
ANGUS,angus,47.60_-122.80,47.6,-122.8,47.5,-122.75,20.91,7,47.101,-123.493,1599,0.1439,1
ANGUS,angus,47.60_-123.00,47.6,-123.0,47.675,-123.1,44.79,2,47.101,-123.493,1604,0.2282,1
ANGUS,angus,47.60_-123.20,47.6,-123.2,47.575,-123.225,39.43,4,47.101,-123.493,1555,0.1788,1
ANGUS,angus,47.60_-123.40,47.6,-123.4,47.65,-123.35,40.18,1,47.101,-123.493,1524,0.3324,1
ANGUS,angus,47.80_-122.80,47.8,-122.8,47.85,-122.85,15.39,1,47.101,-123.493,1584,0.1822,1
ANGUS,angus,47.80_-123.00,47.8,-123.0,47.85,-123.05,47.14,6,47.101,-123.493,1565,0.1854,1
ANGUS,angus,47.80_-123.20,47.8,-123.2,47.85,-123.2,41.69,9,47.101,-123.493,1609,0.1414,1
ANGUS,angus,47.80_-123.60,47.8,-123.6,47.75,-123.5,34.68,1,47.101,-123.493,528,0.3036,1
ANGUS,angus,48.00_-123.40,48.0,-123.4,47.95,-123.35,40.42,1,47.101,-123.493,706,0.3859,1
AONC,aonc,40.20_-122.40,40.2,-122.4,40.225,-122.375,25.43,6,39.94,-122.061,2225,0.0344,2
