tag,sta,net,used_band,n_bnd,boundaries
KHBB,KHBB,NC,HH,1,2022-08-09
KHMB,KHMB,NC,HH,0,
KMR,KMR,NC,HH,1,2025-09-17
KRMB,KRMB,NC,HH,0,
KRP,KRP,NC,HH,1,2021-08-03
KSXB,KSXB,NC,HH,0,
KUHN,KUHN,UO,HH,0,
LACKA,LACKA,UW,HH,0,
LAIR,LAIR,UO,HH,0,
LBR,LBR,NC,HH,0,
LCCR,LCCR,UW,HH,1,2020-08-23
LCM,LCM,NC,HH,0,
LCOW,LCOW,BK,BH,0,
LDH,LDH,NC,HH,0,
LDL,LDL,NC,HH,0,
LEBA,LEBA,UW,HH,0,
LEID,LEID,UW,HH,0,
LGY,LGY,NC,HH,0,
LMC,LMC,NC,HH,0,
LOKI,LOKI,UO,HH,0,
LOPEZ,LOPEZ,UW,HH,0,
LTC,LTC,NC,EH,0,
MARQ,MARQ,UO,HH,0,
MGRB,MGRB,CN,HH,0,
MILL,MILL,BK,BH,0,
MINN,MINN,UO,HH,0,
MOGU,MOGU,BK,BH,0,
MONKS,MONKS,UO,HH,0,
MONTE,MONTE,UW,HH,0,
MULN,MULN,UW,HH,0,
NATEM,NATEM,UW,HH,0,
NBFR,NBFR,UO,HH,0,
NCSB,NCSB,CN,HH,0,
NEMA,NEMA,UW,HH,0,
NLWA,NLWA,US,BH,0,
OLGA,OLGA,UW,HH,0,
OLQN,OLQN,UW,HH,0,
OSQM,OSQM,UW,HH,0,
OTR,OTR,UW,HH,0,
OZB,OZB,CN,BH,0,
PABB,PABB,CN,HH,0,
PAN4H,PAN4H,UW,HH,0,
PETY,PETY,BK,BH,2,2022-08-30;2025-07-23
PGCbhz,PGC,CN,BH,1,2015-01-12
PGChhz,PGC,CN,BH,1,2015-01-12
PIT6,PIT6,BK,BH,0,
PR02,PR02,CC,BH,0,
PR04,PR04,CC,BH,0,
PR05,PR05,CC,BH,0,
PRIN,PRIN,UW,HH,0,
PTRF,PTRF,CN,HH,0,
QEPB,QEPB,CN,HH,0,
RADR,RADR,UW,BH,0,
RAIN,RAIN,UO,HH,2,2020-08-14;2022-06-09
RATT,RATT,UW,BH,0,
RER,RER,UW,HH,0,
RNWY,RNWY,UW,HH,0,
ROGE,ROGE,UO,HH,0,
RUSH,RUSH,CC,BH,0,
RVIT,RVIT,BK,BH,0,
SAGE,SAGE,BK,BH,0,
SALO,SALO,UW,HH,0,
SALT,SALT,UO,HH,0,
SANG,SANG,BK,BH,0,
SAXON,SAXON,UW,HH,0,
SBAR,SBAR,BK,BH,0,
SCOT,SCOT,BK,BH,1,2022-10-27
SEAS2,SEAS2,UW,HH,0,
SHB,SHB,CN,BH,0,
SHBhhz,SHB,CN,BH,0,
SHW,SHW,UW,HH,0,
SIFT,SIFT,CC,BH,0,
SIGP,SIGP,BK,BH,0,
SISQ,SISQ,UO,HH,0,
SKAMO,SKAMO,UW,HH,0,
SLDQ,SLDQ,UW,HH,0,
SNB,SNB,CN,HH,1,2017-06-08
SP2,SP2,UW,BH,1,2011-08-25
SSO2,SSO2,UW,HH,0,
STOR,STOR,UW,HH,1,2014-06-19
SWF2,SWF2,CC,BH,1,2015-07-31
TOFB,TOFB,CN,HH,1,2021-12-03
TOLE,TOLE,UW,HH,0,
TRIN,TRIN,BK,BH,1,2022-10-26
TRIPT,TRIPT,UO,HH,0,
TXDB,TXDB,CN,HH,0,
UCHR,UCHR,UO,HH,0,
VERN,VERN,UO,HH,1,2020-10-30
VGZ,VGZ,CN,HH,1,2017-03-03
VINO,VINO,UO,HH,0,
VITI,VITI,UO,HH,0,
VOIT,VOIT,CC,BH,0,
WHGC,WHGC,UW,HH,0,
WIKI,WIKI,UO,HH,0,
WINDI,WINDI,UW,HH,0,
WISH,WISH,UW,BH,1,2011-06-14
WLOO,WLOO,UO,HH,1,2020-03-15
WOOD,WOOD,UO,HH,1,2025-06-04
WYLD,WYLD,UO,HH,0,
WYNO,WYNO,UW,HH,0,
YACT,YACT,UW,HH,1,2020-10-17
YBH,YBH,BK,FDSN_ERR,-1,
YELM,YELM,UW,HH,0,
