order,net,sta,lat,lon,region,record_yr,tremor_km,chans,band,status
70,NC,LBR,41.409,-122.068,1_NorCal,9.0,3.0,HHZ,1-band,
71,CN,PTRF,48.544,-124.413,5_VancIsl,9.0,5.0,HHZ,1-band,
72,US,NLWA,47.392,-123.869,4_Washington,8.0,3.0,BHZ,1-band,
73,UO,MARQ,45.066,-122.669,3_NOregon,6.0,4.0,HHZ,1-band,
74,UO,SISQ,42.275,-123.632,2_SOregon,6.0,4.0,HHZ,1-band,
75,BK,SCOT,41.392,-122.854,1_NorCal,9.0,4.0,BHZ/HHZ,2-band,
76,CN,BFSB,48.834,-125.136,5_VancIsl,9.0,5.0,HHZ,1-band,downloaded
77,UW,SHW,46.194,-122.235,4_Washington,8.0,3.0,EHZ/HHZ,2-band,
78,UO,GROV,45.538,-123.157,3_NOregon,6.0,5.0,HHZ,1-band,
79,UO,WYLD,43.144,-123.429,2_SOregon,6.0,5.0,HHZ,1-band,
80,NC,KSXB,41.83,-123.877,1_NorCal,9.0,4.0,HHZ,1-band,
81,CN,MGRB,49.0,-124.697,5_VancIsl,8.0,0.0,HHZ,1-band,
82,UW,BOW2,46.477,-123.233,4_Washington,8.0,4.0,EHZ,1-band,
83,UO,PERY,45.041,-123.26,3_NOregon,6.0,5.0,HHZ,1-band,
84,UO,HBUG,42.641,-124.379,2_SOregon,6.0,5.0,HHZ,1-band,
85,NC,LBO,41.492,-122.244,1_NorCal,9.0,4.0,EHZ,1-band,
86,CN,PABB,49.219,-124.811,5_VancIsl,8.0,2.0,HHZ,1-band,downloaded
87,UW,RVW2,46.153,-122.741,4_Washington,8.0,6.0,EHZ,1-band,
88,UO,NBFR,45.726,-123.853,3_NOregon,6.0,5.0,HHZ,1-band,
89,UO,DING,42.862,-124.054,2_SOregon,6.0,6.0,HHZ,1-band,
90,NC,KRP,41.158,-124.023,1_NorCal,10.0,14.0,HHZ,1-band,
91,UW,LUMI,48.72,-122.706,5_VancIsl,8.0,2.0,HHZ,1-band,
92,UW,OLQN,47.513,-123.813,4_Washington,7.0,2.0,HHZ,1-band,
93,UO,VERN,45.853,-123.248,3_NOregon,6.0,6.0,HHZ,1-band,
94,UO,KEB,42.872,-124.334,2_SOregon,6.0,6.0,HHZ,1-band,
95,NC,KCPB,39.686,-123.582,1_NorCal,10.0,14.0,HHZ,1-band,
96,UW,UWFH,48.546,-123.013,5_VancIsl,8.0,5.0,EHZ,1-band,
97,UW,DOSE,47.717,-122.972,4_Washington,7.0,3.0,HHZ,1-band,
98,UO,PF27,45.545,-122.76,3_NOregon,6.0,6.0,HHZ,1-band,
99,UW,JEDS,43.752,-124.049,2_SOregon,6.0,7.0,HHZ,1-band,
100,NC,LBP,40.317,-122.882,1_NorCal,8.0,2.0,EHZ,1-band,
101,CN,MYRA,49.551,-125.57,5_VancIsl,8.0,6.0,HHZ,1-band,
102,UW,TKEY,47.179,-122.772,4_Washington,7.0,3.0,HHZ,1-band,
103,UW,YACT,45.932,-122.419,3_NOregon,6.0,7.0,HHZ,1-band,
104,NC,LSR,41.107,-122.271,1_NorCal,8.0,2.0,EHZ,1-band,
105,CN,TXDB,49.698,-124.438,5_VancIsl,7.0,3.0,HHZ,1-band,
106,CC,RUSH,46.903,-121.944,4_Washington,7.0,3.0,BHZ,1-band,
107,UW,SSO2,44.841,-122.483,3_NOregon,7.0,15.0,HHZ,1-band,
108,NC,LBK,41.084,-122.667,1_NorCal,8.0,3.0,EHZ,1-band,
