fam,causality,reliable
48.400_-123.600__c1,1.43609944840013,False
48.450_-123.700__c17,0.5437131751764294,False
48.500_-123.150__c3,5.193833157923211,True
48.500_-123.300__c29,2.0667900689782988,True
48.500_-123.300__c31,0.8354336284687308,False
48.500_-123.400__c3,0.3081784618460659,False
48.500_-123.450__c21,1.176731344343529,False
48.500_-123.650__c18,2.0329134631841987,True
48.500_-123.700__c10,0.9910469352432593,False
48.500_-123.750__c54,1.8724123384110642,True
48.500_-123.750__c55,0.8525062039087651,False
48.500_-123.800__c51,1.2472234008246934,False
48.500_-123.800__c96,0.9936632390786599,False
48.500_-123.900__c4,1.2916728312247274,False
48.500_-123.900__c56,0.4735699392450011,False
48.500_-123.900__c58,0.902488846804469,False
48.500_-123.900__c63,1.3135651579914458,False
48.500_-123.950__c10,0.6965000720680687,False
48.500_-123.950__c13,0.8861291331862179,False
48.500_-123.950__c15,1.5798788201463558,True
48.500_-123.950__c17,1.1891937620986175,False
48.500_-123.950__c29,1.9146584981394377,True
48.500_-123.950__c45,0.8590981758914453,False
48.500_-124.050__c21,1.6322754243418955,True
48.500_-124.100__c16,0.5305601408227616,False
48.550_-123.250__c42,1.094865127743375,False
48.550_-123.250__c5,0.4255049193923912,False
48.550_-123.650__c1,0.9945199350346261,False
48.550_-123.900__c66,2.9606743118784746,True
48.550_-123.950__c12,0.6351635306493669,False
48.550_-123.950__c13,1.0249262005561564,False
48.550_-123.950__c51,2.18057659813188,True
48.550_-124.000__c17,1.496305654505153,False
48.550_-124.000__c20,0.6342715095175978,False
48.550_-124.000__c39,0.979097980514986,False
48.550_-124.250__c16,0.3324538995690864,False
48.550_-124.450__c22,0.4970637353653194,False
48.600_-123.650__c9,0.9490711297872194,False
48.600_-123.750__c59,0.7655803098947068,False
48.600_-123.800__c101,1.503411235156905,True
48.600_-123.800__c70,0.3776973260218767,False
48.600_-123.850__c13,0.8931294504895441,False
48.600_-123.850__c14,2.015833672021747,True
48.600_-123.900__c14,1.3271962270219164,False
48.600_-123.900__c58,2.5500355684623393,True
48.600_-123.950__c88,0.3364022730552609,False
48.600_-124.000__c43,0.4145894727295635,False
48.600_-124.000__c83,0.20241693016646042,False
48.600_-124.050__c14,0.4473217650788174,False
48.600_-124.050__c9,2.2999458351178506,True
48.600_-124.100__c35,0.477349588202417,False
48.600_-124.100__c36,3.3809171831814595,True
48.600_-124.100__c79,0.6724401897471971,False
48.600_-124.100__c83,1.0523591426361163,False
48.600_-124.150__c12,1.3137772506930614,False
48.600_-124.200__c17,2.2202539545536575,True
48.600_-124.200__c18,1.0682941502566952,False
48.600_-124.250__c12,0.44168492743975774,False
48.650_-123.800__c7,0.884483137066015,False
48.650_-123.850__c79,0.6559466541338781,False
48.650_-124.000__c19,1.706262412480844,True
48.650_-124.000__c23,0.7992085673199876,False
48.650_-124.000__c24,0.4382125529261099,False
48.650_-124.000__c33,0.4201616622552613,False
48.650_-124.000__c7,0.582637303659269,False
48.650_-124.050__c16,0.8277295382252632,False
48.650_-124.100__c17,1.0485218016479148,False
48.650_-124.100__c18,1.3850613077822151,False
48.650_-124.100__c71,3.151952443331805,True
48.650_-124.100__c81,1.124978637662695,False
48.650_-124.100__c84,0.9263635624423437,False
48.650_-124.100__c86,0.7292826549267712,False
48.650_-124.150__c102,0.7207258087762415,False
48.650_-124.150__c14,0.7991607639723481,False
48.650_-124.200__c117,0.9061582350107444,False
48.650_-124.200__c71,0.6044756343687566,False
48.650_-124.200__c99,0.6460964908244411,False
48.650_-124.250__c15,3.0312687134961207,True
48.650_-124.300__c21,1.4409793640334996,False
48.650_-124.300__c7,2.4273942799894668,True
48.700_-123.750__c3,0.5736878406736875,False
48.700_-123.750__c8,1.0180729604509813,False
48.700_-123.900__c30,2.462243571688257,True
48.700_-123.900__c9,1.118148868353793,False
48.700_-123.950__c50,0.5458297825875079,False
48.700_-123.950__c55,3.5472060382457133,True
48.700_-124.050__c17,0.25169166197082915,False
48.700_-124.100__c62,0.3628281470534234,False
48.700_-124.100__c84,1.4790780460603306,False
48.700_-124.150__c5,0.9857338090904822,False
48.700_-124.200__c48,0.6517925395555417,False
48.700_-124.200__c60,0.6465705524391989,False
48.700_-124.250__c119,1.1387277974380337,False
48.700_-124.250__c46,1.0271661161119794,False
48.700_-124.250__c53,1.068707873444219,False
48.700_-124.250__c69,0.43253320216678065,False
48.700_-124.250__c72,0.47847589019976733,False
48.700_-124.300__c1,0.21727727833118057,False
48.700_-124.300__c31,0.6249970869076814,False
48.750_-123.800__c35,2.387107275992554,True
48.750_-123.900__c79,0.48770918339621694,False
48.750_-123.900__c80,2.7139100340969624,True
48.750_-124.000__c12,1.2575193445752697,False
48.750_-124.000__c17,1.077900653023626,False
48.750_-124.000__c19,0.9958587021310923,False
48.750_-124.000__c39,0.3201905499953222,False
48.750_-124.050__c37,0.9384813339576991,False
48.750_-124.100__c19,2.4830674102501247,True
48.750_-124.150__c10,0.9555951673907505,False
48.750_-124.200__c31,0.4264602637096964,False
48.750_-124.250__c108,0.9572750570006832,False
48.750_-124.250__c40,0.36085636629855233,False
48.750_-124.300__c15,0.8731366109119519,False
48.750_-124.300__c17,1.2816174649684628,False
48.750_-124.300__c25,1.0288153632992991,False
48.750_-124.500__c31,0.7488500637340868,False
