fam,causality,reliable
42.050_-123.250__c28,3.728697293530199,True
42.050_-123.300__c40,1.1963583979318175,False
42.050_-123.500__c22,0.40960533778881203,False
42.100_-123.250__c27,0.5585563752107674,False
42.100_-123.400__c18,1.6089655494506712,True
42.100_-123.450__c26,0.43395484920585475,False
42.100_-123.550__c18,0.4608676661100622,False
42.150_-123.300__c40,1.3204262437615841,False
42.150_-123.350__c31,1.6485031493819846,True
42.150_-123.400__c60,6.922532477958541,True
42.150_-123.450__c51,2.106315292482912,True
42.150_-123.550__c31,1.664378358663664,True
42.150_-123.600__c43,1.8781448121871034,True
42.200_-123.200__c23,0.5742441654610487,False
42.200_-123.250__c38,5.030555130821527,True
42.200_-123.300__c7,0.4144206864453713,False
42.200_-123.350__c42,1.3940833568210111,False
42.200_-123.400__c44,0.9949067076497039,False
42.200_-123.400__c56,1.1047137703529843,False
42.200_-123.450__c8,1.6033511606509763,True
42.200_-123.500__c33,0.4644208404722978,False
42.200_-123.550__c18,0.5187221279735493,False
42.200_-123.600__c24,0.9154283218755331,False
42.250_-123.150__c29,3.833837781150181,True
42.250_-123.200__c30,0.4180524261231346,False
42.250_-123.250__c68,0.8660455026689601,False
42.250_-123.300__c142,0.8782172080015371,False
42.250_-123.300__c17,1.3669932992311808,False
42.250_-123.350__c122,2.83284500073462,True
42.250_-123.350__c126,1.4396997925240445,False
42.250_-123.350__c136,3.576849719719795,True
42.250_-123.350__c35,1.662789040198049,True
42.250_-123.350__c40,1.0237718740639299,False
42.250_-123.350__c47,2.577394625683171,True
42.250_-123.400__c111,1.1272807797572781,False
42.250_-123.450__c44,0.9281387869538452,False
42.250_-123.500__c57,0.5735165278313339,False
42.250_-123.550__c32,1.0132246851992042,False
42.250_-123.750__c4,0.7332432363125417,False
42.300_-123.250__c137,2.2927189407815693,True
42.300_-123.250__c143,0.8134260732566247,False
42.300_-123.250__c34,1.7408406912757368,True
42.300_-123.300__c113,1.8793257609343175,True
42.300_-123.300__c88,2.0468029604266604,True
42.300_-123.350__c78,1.1424074917125502,False
42.300_-123.350__c94,1.0566096127558549,False
42.300_-123.400__c30,1.1132471055689033,False
42.300_-123.450__c37,1.8730775436327425,True
42.300_-123.500__c60,0.9889430804568262,False
42.300_-123.550__c27,0.4896049079779969,False
42.300_-123.550__c39,0.4442707364985804,False
42.300_-123.600__c29,0.7267954132918794,False
42.350_-123.200__c24,0.47480093136337326,False
42.350_-123.250__c44,0.5994507853247422,False
42.350_-123.300__c130,0.4655350732310857,False
42.350_-123.300__c139,0.6780364314245443,False
42.350_-123.350__c139,0.7011742858507753,False
42.350_-123.350__c82,2.235756952403969,True
42.350_-123.400__c112,1.717075802260035,True
42.350_-123.400__c60,0.7854171896971803,False
42.350_-123.400__c78,2.2773973923507596,True
42.350_-123.400__c89,1.039527364100344,False
42.350_-123.450__c44,0.5465918594231879,False
42.350_-123.500__c33,2.4151771219524494,True
42.350_-123.550__c32,0.6453186109514005,False
42.350_-123.600__c29,2.1722995781262475,True
42.350_-123.650__c27,0.5397133101560919,False
42.350_-123.850__c1,1.337769972301999,False
42.400_-123.250__c28,1.4324154447124475,False
42.400_-123.300__c31,0.6631197593361003,False
42.400_-123.350__c141,1.354326979332742,False
42.400_-123.350__c73,3.4230459685859613,True
42.400_-123.400__c144,1.6637605420572086,True
42.400_-123.400__c150,1.862444895261428,True
42.400_-123.400__c49,0.48065587452510394,False
42.400_-123.450__c104,2.2754837917102693,True
42.400_-123.450__c23,1.2205243704379616,False
42.400_-123.450__c39,0.34736600539700696,False
42.400_-123.500__c43,1.9908907465649264,True
42.400_-123.550__c67,0.30394510520364115,False
42.400_-123.600__c84,3.755711303459666,True
42.400_-123.650__c22,1.0071765422041818,False
42.400_-123.750__c25,0.4417529713574208,False
