net,sta,lat,lon,chans,earliest,tremor_km,record_yr,band_km
BK,AONC,39.94,-122.061,BHZ/HHZ,2020.0,5.0,6.0,12.0
BK,HAYF,40.523,-123.232,BHZ/HHZ,2019.0,4.0,7.0,13.0
UO,RAIN,46.082,-123.011,HHZ,2020.0,2.0,6.0,13.0
UO,MONKS,45.994,-123.004,HHZ,2020.0,1.0,6.0,13.0
UW,PRIN,48.212,-122.631,HHZ,2020.0,3.0,6.0,13.0
UW,SVOH,48.289,-122.633,EHZ,2017.0,3.0,9.0,13.0
NC,GVV,39.775,-122.676,EHZ,2019.0,3.0,7.0,14.0
BK,GUMB,41.213,-122.509,BHZ/HHZ,2021.0,2.0,5.0,15.0
UO,BEER,44.108,-123.847,HHZ,2016.0,4.0,10.0,16.0
NC,GBB,39.801,-122.345,EHZ,2019.0,3.0,7.0,16.0
UW,FISH2,45.928,-123.499,HHZ,2020.0,3.0,6.0,16.0
UW,HANS,47.907,-122.569,HHZ,2021.0,3.0,5.0,16.0
UW,TOLE,46.453,-122.845,HHZ,2019.0,6.0,7.0,17.0
BK,LCOW,40.643,-122.185,BHZ/HHZ,2020.0,5.0,6.0,17.0
UO,VITI,44.282,-123.318,HHZ,2020.0,2.0,6.0,17.0
UW,DOTY,46.705,-123.369,HHZ,2021.0,2.0,5.0,17.0
UW,HEBO,45.214,-123.755,BHZ,2011.0,4.0,15.0,17.0
UO,TRIPT,45.63,-123.644,HHZ,2021.0,5.0,5.0,18.0
UW,CINE,46.557,-122.567,HHZ,2019.0,5.0,7.0,19.0
UW,FISH,45.931,-123.559,HHZ,2016.0,5.0,10.0,19.0
UO,PF27,45.545,-122.76,HHZ,2020.0,6.0,6.0,19.0
NC,LMI,40.512,-122.149,EHZ,2020.0,4.0,6.0,19.0
CN,SNB,48.775,-123.172,HHZ,2017.0,4.0,9.0,19.0
UO,DING,42.862,-124.054,HHZ,2020.0,6.0,6.0,20.0
CN,BFSB,48.834,-125.136,HHZ,2017.0,5.0,9.0,20.0
NC,LPK,41.455,-122.544,EHZ,2015.0,6.0,11.0,20.0
UO,BUCK,44.197,-122.986,HHZ,2018.0,1.0,8.0,20.0
UO,KUHN,45.785,-122.896,HHZ,2020.0,2.0,6.0,20.0
UW,GUEM,48.547,-122.63,HHZ,2021.0,6.0,5.0,21.0
UO,UCHR,44.835,-123.871,HHZ,2021.0,4.0,5.0,21.0
UW,WPO,45.573,-122.791,EHZ,2015.0,3.0,11.0,21.0
UW,RVW2,46.153,-122.741,EHZ,2018.0,6.0,8.0,21.0
NC,KBN,39.892,-123.195,EHZ,2021.0,1.0,5.0,23.0
UW,ANGUS,47.101,-123.493,HHZ,2021.0,1.0,5.0,23.0
UW,BST09,47.654,-122.309,HHZ,2020.0,5.0,6.0,23.0
UW,OLGA,48.605,-122.803,HHZ,2021.0,1.0,5.0,23.0
CN,GHNB,49.306,-124.236,HHZ,2020.0,3.0,6.0,23.0
UO,WIKI,46.106,-123.585,HHZ,2020.0,1.0,6.0,25.0
UW,WYNO,47.434,-123.613,HHZ,2020.0,4.0,6.0,25.0
BK,MOGU,41.831,-122.421,BHZ/HHZ,2019.0,4.0,7.0,26.0
NC,LCSB,41.416,-122.394,EHZ,2015.0,2.0,11.0,27.0
UW,JEDS,43.752,-124.049,HHZ,2020.0,7.0,6.0,27.0
UW,HILL,48.388,-122.447,HHZ,2020.0,4.0,6.0,27.0
CN,TOFB,49.154,-125.908,HHZ,2009.0,5.0,17.0,27.0
NC,LSR,41.107,-122.271,EHZ,2018.0,2.0,8.0,28.0
UW,LEBA,46.546,-123.563,HHZ,2020.0,6.0,6.0,28.0
