fam,causality,reliable
40.600_-122.500__c16,0.5157833995398602,False
40.600_-122.700__c10,0.6700171190358801,False
40.600_-122.800__c16,1.9125113814073962,True
40.600_-122.900__c4,0.32852945046223053,False
40.600_-123.000__c83,0.8410672113113439,False
40.650_-122.900__c132,0.8988074911046077,False
40.650_-122.900__c25,1.1019725882333615,False
40.700_-122.950__c107,0.34779317595483905,False
40.700_-123.050__c135,1.485770952543573,False
40.750_-122.950__c75,1.1083952213548616,False
40.750_-122.950__c86,2.8909434947959918,True
40.750_-123.000__c172,1.0035367200159182,False
40.750_-123.000__c53,0.47464686286998226,False
40.750_-123.050__c7,0.6383151282148701,False
40.750_-123.150__c42,3.984348165658822,True
40.800_-122.700__c41,2.247160297271008,True
40.850_-122.850__c8,0.18959024952791154,False
40.850_-122.900__c68,2.0799587805808093,True
40.850_-122.950__c97,1.0078719787954786,False
40.900_-122.700__c39,1.3858896460054895,False
40.900_-122.750__c31,1.4414448702415643,False
40.900_-122.750__c43,1.719262319118649,True
40.900_-122.850__c119,2.155509024147923,True
40.900_-123.100__c73,1.1599009169549102,False
40.950_-122.700__c19,1.126279584653595,False
40.950_-122.800__c65,4.951287206058099,True
40.950_-122.900__c10,2.2785340431227086,True
40.950_-122.900__c87,0.9495737809192631,False
40.950_-122.950__c31,0.996254138148836,False
40.950_-122.950__c74,0.9610578704096903,False
40.950_-123.000__c122,0.7846188032277386,False
41.000_-122.750__c31,2.1165635652396984,True
41.000_-122.800__c23,2.694504276933009,True
41.000_-122.800__c56,0.7867992630299532,False
41.000_-122.850__c143,0.7426221840182762,False
41.000_-122.900__c116,0.9787364504856656,False
41.000_-122.900__c124,0.8922448093747384,False
41.000_-122.900__c72,0.9378899678477732,False
41.000_-123.000__c167,2.0372534366256536,True
41.000_-123.050__c71,0.44573919113709587,False
41.000_-123.100__c107,1.9608131291390773,True
41.000_-123.100__c55,2.552535010615177,True
41.000_-123.150__c112,0.5555076951021315,False
41.000_-123.150__c128,0.7832412195848334,False
41.000_-123.150__c144,0.5303490174003244,False
41.000_-123.150__c99,0.9279513962614055,False
41.000_-123.200__c55,2.3231173607068256,True
41.050_-122.800__c65,0.3869973010348565,False
41.050_-122.900__c12,1.2807845806342082,False
41.050_-122.900__c121,0.9480424258802994,False
41.050_-123.050__c136,0.6227941556577057,False
41.050_-123.050__c95,1.0687506144184846,False
41.050_-123.100__c118,0.6542413304843514,False
41.050_-123.100__c153,0.52215237429587,False
41.050_-123.100__c177,1.042804340003836,False
41.050_-123.100__c69,0.9658198692389695,False
41.050_-123.100__c73,0.7728390405678469,False
41.050_-123.150__c103,1.6771561704975972,True
41.050_-123.150__c126,0.8822727226254868,False
41.050_-123.150__c156,1.2689275190762876,False
41.050_-123.150__c188,0.6306129469730887,False
41.050_-123.150__c35,1.3129711782866815,False
41.050_-123.150__c85,0.931019994292074,False
41.050_-123.200__c53,1.1260049938214105,False
41.050_-123.200__c75,2.2638359625292237,True
41.100_-122.950__c204,0.4877451111396922,False
41.100_-123.000__c192,0.8901449958311746,False
41.100_-123.000__c37,1.124393272542434,False
41.100_-123.000__c63,0.8828139568909138,False
41.100_-123.050__c107,1.2966833373964821,False
41.100_-123.050__c113,0.9331434383125775,False
41.100_-123.050__c203,1.8486732922885019,True
41.100_-123.050__c293,0.775502323411391,False
41.100_-123.100__c146,1.856521058548279,True
41.100_-123.100__c176,2.668605706565019,True
41.100_-123.100__c185,0.7318331618092816,False
41.100_-123.100__c214,0.5627070910628336,False
41.100_-123.100__c216,1.011461783938887,False
41.100_-123.100__c266,1.0092592275080614,False
41.100_-123.100__c28,1.1898354925085493,False
41.100_-123.100__c51,1.528707868518263,True
41.100_-123.150__c117,1.346731683146044,False
