fam,causality,reliable
48.550_-123.800__c1,1.15737113502881,False
48.550_-123.800__c18,2.609191107045541,True
48.650_-124.250__c8,1.2148925321746598,False
48.700_-124.100__c9,5.279765681581906,True
48.700_-124.200__c32,0.5937684349473239,False
48.700_-124.300__c23,0.176036440714152,False
48.700_-124.650__c4,0.9020405361742586,False
48.700_-124.700__c13,1.0052031363656755,False
48.700_-124.750__c13,0.1321710117695465,False
48.750_-124.200__c36,1.1980420675600225,False
48.750_-124.200__c58,2.2907716114241765,True
48.750_-124.250__c26,1.48526681892484,False
48.750_-124.400__c67,0.5851874226534435,False
48.800_-124.200__c66,3.2344473490681884,True
48.800_-124.250__c56,2.511962985528193,True
48.800_-124.400__c94,1.204000081373791,False
48.800_-124.450__c1,0.5583396567512532,False
48.800_-124.450__c54,0.4877524338630598,False
48.800_-124.550__c78,0.7459231809459599,False
48.800_-124.600__c42,1.3874229801442737,False
48.800_-124.600__c46,3.973653560791051,True
48.850_-124.200__c3,0.7388249260835983,False
48.850_-124.300__c36,0.6602782656467308,False
48.850_-124.450__c23,0.5138309893277081,False
48.850_-124.450__c51,2.7902925676292045,True
48.850_-124.500__c14,0.8732311737348089,False
48.850_-124.550__c35,8.852809827905133,True
48.850_-124.600__c101,1.8804014177487791,True
48.850_-124.600__c129,3.0694065932367676,True
48.850_-124.600__c98,1.8743873990172402,True
48.850_-124.650__c31,1.2282538032445467,False
48.850_-124.700__c130,0.4029096340098881,False
48.850_-124.700__c54,1.5325751186952405,True
48.850_-124.700__c64,0.816101966610024,False
48.850_-124.750__c10,0.530974850136421,False
48.900_-124.400__c41,1.8501316437850162,True
48.900_-124.400__c79,2.4081622863265646,True
48.900_-124.450__c15,2.1920635480101316,True
48.900_-124.500__c154,0.3345640515883572,False
48.900_-124.500__c55,0.7234881300548153,False
48.900_-124.550__c6,0.9347551658743672,False
48.900_-124.600__c127,1.6127671454077899,True
48.900_-124.600__c141,2.9274941011404034,True
48.900_-124.600__c159,0.3358186486468107,False
48.900_-124.600__c36,1.1446564724098418,False
48.900_-124.600__c63,1.2483433567612947,False
48.900_-124.650__c1,1.1853443187192363,False
48.900_-124.650__c123,1.0698829303345698,False
48.900_-124.650__c13,1.0480358648462116,False
48.900_-124.650__c135,2.999105966162723,True
48.900_-124.650__c156,0.3904011818274064,False
48.900_-124.650__c197,1.1835425176966994,False
48.900_-124.650__c20,3.7323063287078715,True
48.900_-124.650__c4,0.26243983112460645,False
48.900_-124.650__c46,1.320519014905918,False
48.900_-124.650__c65,0.707543181711973,False
48.900_-124.700__c100,0.34333762191348177,False
48.900_-124.700__c104,0.5829662027449891,False
48.900_-124.700__c111,1.6782632023253647,True
48.900_-124.700__c12,2.9782829795437857,True
48.900_-124.700__c120,0.20839619074679766,False
48.900_-124.700__c123,0.6757519364926745,False
48.900_-124.700__c133,3.6632876721131384,True
48.900_-124.700__c148,2.978883861442056,True
48.900_-124.700__c149,0.40257781218180405,False
48.900_-124.700__c151,0.5115069375529511,False
48.900_-124.700__c154,0.6473901731548934,False
48.900_-124.700__c180,2.0857901613299443,True
48.900_-124.700__c195,1.580033562493681,True
48.900_-124.700__c218,1.6611008666455873,True
48.900_-124.700__c226,1.4898896939465045,False
48.900_-124.700__c231,1.5387156875400227,True
48.900_-124.700__c256,1.2389276273128005,False
48.900_-124.700__c265,3.634777138174013,True
48.900_-124.700__c268,0.6983660597435394,False
48.900_-124.700__c270,1.481452029002449,False
48.900_-124.700__c32,0.7980637377367343,False
48.900_-124.700__c362,1.1019812052531315,False
48.900_-124.750__c100,0.6466889012497479,False
48.900_-124.750__c116,3.121621172826749,True
48.900_-124.750__c132,0.3370001960329914,False
48.900_-124.750__c141,4.850964622318259,True
48.900_-124.750__c145,1.9153944656090403,True
48.900_-124.750__c154,0.878922684492982,False
48.900_-124.750__c18,2.3092758054483973,True
48.900_-124.750__c185,1.0071417340733109,False
48.900_-124.750__c212,2.477478549705639,True
48.900_-124.750__c232,1.0178330296420404,False
48.900_-124.750__c245,1.4239660852532385,False
48.900_-124.750__c252,1.4231653052128246,False
48.900_-124.750__c260,0.3891939856388755,False
48.900_-124.750__c273,1.7866974615831355,True
48.900_-124.750__c298,1.6425949417386778,True
48.900_-124.750__c50,1.3316597499239355,False
48.900_-124.750__c67,2.732004703745648,True
48.900_-124.750__c70,1.8892001455599452,True
48.900_-124.750__c74,1.0862206708905637,False
48.900_-124.750__c78,1.3212605511895552,False
48.900_-124.750__c97,2.2712338977752147,True
48.900_-124.800__c11,1.0095752858634939,False
48.900_-124.800__c138,0.2537127865858767,False
48.900_-124.800__c178,1.7343568908562876,True
48.900_-124.800__c181,0.5964743653331127,False
48.900_-124.800__c90,0.9470878889249423,False
48.900_-124.850__c61,0.20683683865740274,False
48.950_-124.400__c66,2.26403704623241,True
48.950_-124.450__c58,1.0660644736663751,False
48.950_-124.500__c147,0.7035763329477672,False
48.950_-124.500__c164,0.18168966774763753,False
