fam,causality,reliable
47.900_-123.400__c4,1.7973974681901757,True
48.250_-123.500__c41,0.2973273247252213,False
48.450_-123.800__c22,0.9864907985402587,False
48.500_-123.700__c5,1.011123770998974,False
48.600_-123.600__c11,3.700369193339669,True
48.600_-123.650__c41,1.689450198022562,True
48.600_-123.950__c45,2.051204082404324,True
48.650_-123.750__c23,1.0245776467823657,False
48.650_-124.050__c8,0.44890569527597246,False
48.700_-124.150__c1,1.080497766172617,False
48.700_-124.350__c36,1.8839603578610458,True
48.700_-124.350__c85,1.654025604157009,True
48.750_-124.000__c79,1.6512873256714824,True
48.750_-124.350__c123,1.0172273183010403,False
48.750_-124.550__c8,1.0810936575958268,False
48.800_-123.650__c113,0.3019084118447207,False
48.800_-123.750__c75,2.0238024354182986,True
48.800_-124.300__c128,1.1435299635300726,False
48.800_-124.350__c10,0.6874758420503314,False
48.800_-124.350__c185,1.0276842201344716,False
48.800_-124.350__c5,2.9980114934267936,True
48.800_-124.400__c136,0.2534743806492994,False
48.800_-124.400__c86,1.0166200141342618,False
48.800_-124.450__c155,0.1885491252068607,False
48.800_-124.450__c81,3.7145178884792287,True
48.800_-124.550__c89,1.0586542123103833,False
48.850_-123.700__c71,0.627014849984374,False
48.850_-123.850__c139,1.9177317965436318,True
48.850_-124.300__c129,0.8119147711580696,False
48.850_-124.550__c5,1.0929505870146419,False
48.850_-124.600__c75,0.8367624424735903,False
48.900_-123.800__c116,1.3725071501789772,False
48.900_-123.800__c194,2.9022735864939992,True
48.900_-123.800__c213,0.9806548769026024,False
48.900_-123.800__c35,0.4099372567579649,False
48.900_-123.900__c58,1.6690921852720633,True
48.900_-123.950__c105,0.9908849384628944,False
48.900_-124.650__c53,1.6912908346839595,True
48.900_-124.700__c27,1.6229194720296267,True
48.950_-123.800__c46,5.165804520118755,True
48.950_-123.800__c47,0.5195499067843745,False
48.950_-123.850__c200,1.027864810567989,False
48.950_-123.900__c166,1.0895627702023378,False
48.950_-123.900__c201,0.43801685534664825,False
48.950_-123.900__c88,5.227771936841014,True
48.950_-124.600__c82,0.19619910831800205,False
48.950_-124.650__c36,1.0436152344187704,False
48.950_-124.750__c112,1.264655411802216,False
48.950_-124.750__c141,0.15227792480137978,False
49.000_-124.250__c33,0.732208257850886,False
49.000_-124.350__c38,1.013148263394625,False
49.000_-124.350__c48,1.3465614535185428,False
49.000_-124.350__c93,2.4409187768069676,True
49.000_-124.450__c109,1.976691672077125,True
49.000_-124.450__c99,1.1642280841586492,False
49.000_-124.500__c21,0.40975578117577693,False
49.000_-124.650__c104,0.34585327738510907,False
49.000_-124.650__c147,1.4911934465011685,False
49.000_-124.650__c19,0.31311611387023397,False
49.000_-124.750__c96,0.9721471594686394,False
49.000_-124.750__c99,0.6983979727445025,False
49.000_-124.850__c47,1.1389218367567495,False
49.050_-124.450__c141,0.826650712031949,False
49.050_-124.500__c117,1.6728311488430396,True
49.050_-124.550__c3,1.158813803467659,False
49.050_-124.600__c104,0.21002173456115114,False
49.050_-124.600__c121,1.697898912313497,True
49.050_-124.600__c136,0.7828203905291089,False
49.050_-124.600__c47,2.2590958274166724,True
49.050_-125.000__c12,2.000229857246036,True
49.100_-124.600__c98,1.160631209678187,False
49.100_-124.800__c8,0.6831748985696612,False
49.150_-124.800__c12,0.7991523637691686,False
49.150_-125.100__c13,2.214875895856497,True
49.200_-124.900__c29,0.1854960103852851,False
49.350_-125.200__c9,0.6820091075869105,False
