scale_km,overall,z3,z12,z22,z32,z40,z48
70,0.7039492182227081,0.7892941629938368,0.7371184779795549,0.6592443872097007,0.6310493617926416,0.6817297825491118,0.7024437796449621
140,0.8109955714126391,0.8631793428958066,0.8486139059256037,0.7706217551336837,0.7578836836859879,0.7974312310527534,0.8148117773010365
250,0.8488299569352769,0.8944673825706515,0.8807480782591104,0.8290074617499494,0.788393262216835,0.8187823001435718,0.8506978146688684
