tag,boundary,nfam,common,leak
ALSE,2020-08-25,44,-0.006070344699935863,0.11854065924817811
ALSE,2023-01-12,46,0.013197136432044622,0.3151111289333593
BCCR,2023-12-29,37,-0.0066767859472351325,0.17038735595640497
BEER,2024-05-10,41,-0.06737072336319973,0.22787785992507809
BFSB,2017-04-20,18,0.17088716791018532,0.13329955183859923
BFSB,2017-06-06,18,0.14543670474265774,0.11343174409427327
CARB,2022-05-26,47,0.23118243653189122,0.249182106383949
CARB,2023-04-24,47,0.22387666810408463,0.28860632228763294
CAVE,2022-11-10,11,0.04798869658873469,0.15599933688252043
CLRS,2016-09-07,9,0.18405476249060487,0.2434276554965348
CLRS,2016-11-02,9,0.18667426391119518,0.20852916053768497
CLRSnew,2016-09-07,24,0.2565834791826618,0.2624924232413087
CLRSnew,2016-11-02,24,0.24503466122413264,0.2667570681470044
CRBN,2023-01-20,8,0.3654400574939327,0.2730977487245994
CRBN,2023-04-24,9,0.3907579865557518,0.3098778781634792
DBO,2011-08-17,28,-0.007103268569237127,0.32561902510635
DING,2020-08-20,17,-0.23431501903854976,0.3026715086380922
DMOR,2023-11-03,62,0.1941909456462117,0.10045939793652112
DMOR,2025-06-24,62,0.1941909456462117,0.10045939793652112
DONK,2021-07-07,28,0.044216115904897144,0.11248192352118667
DRAN,2020-11-14,52,0.1960386123269245,0.18625793147323152
DRAN,2023-01-05,51,0.10852851928301978,0.1094327454832068
DRAN,2023-08-24,48,-0.06155967216543879,0.20818550555712564
GRPK,2025-05-21,29,-0.20632134419693024,0.3308500270706668
GTWY,2023-04-24,19,-0.5177808312215477,0.0607465792583659
GUEM,2023-10-10,46,-0.012519683210499732,0.07296611033986082
GUMB,2024-08-26,28,-0.0043897081528505915,0.18031797553882775
HANS,2022-04-02,55,-0.09997897225130217,0.07662878301479659
HAYF,2025-05-06,53,-0.004212240265587676,0.1190411750858826
HEBO,2011-06-27,6,-0.17380697667514938,0.051834016514625506
IRYS,2020-08-27,25,0.21038808184186042,0.2626062908544633
JRO,2015-01-20,10,0.06426876132239254,0.18246224224445193
KBO,2021-04-08,6,0.3287455066564885,0.3093016974393732
KBO,2025-11-21,5,-0.036890873477475654,0.2965084511140404
KCPB,2010-11-01,9,0.23184252894538201,0.380144869546242
KCPB,2011-07-13,11,0.22646348059961602,0.10073884208637059
KCPB,2011-08-23,11,0.23284405695861643,0.18955384661833655
KCPB,2015-09-02,11,0.30097801662297213,0.507588668544959
KCPB,2015-10-29,11,0.27935036279398967,0.5572288335810027
KCPB,2016-04-28,11,0.27935036279398967,0.54615977347409
KCPB,2019-09-13,11,0.2621873480927095,0.2773932093005108
KEB,2025-12-03,38,-0.09797832495775846,0.31137586200009404
KHBB,2010-11-03,14,-0.07488470664111223,0.38644728423756575
KHBB,2015-10-29,14,0.02872710842711542,0.14960503161543662
KHBB,2016-04-28,14,0.0381682728765936,0.14993164250058005
KHBB,2019-06-07,14,0.17924408219823396,0.17571837082239586
KHBB,2022-08-09,14,0.1275953265157706,0.2357469267154162
KHBB,2024-10-07,15,0.019176817220220594,0.22936203382918988
KHBB,2025-11-24,15,-0.09946656226744223,0.19377104590305871
KHMB,2010-11-03,16,-0.6339544816284932,0.22495375314995195
KHMB,2014-11-20,16,-0.0847787602631974,0.13253401136759518
KHMB,2015-10-28,16,0.0297160792346515,0.2023819487246292
KHMB,2016-04-28,16,0.05897853645053346,0.23709909392091233
KHMB,2024-10-07,11,-0.46088717447910044,0.19523450171316806
KRMB,2009-06-03,26,-0.27702317133593446,0.17105491097804745
KRMB,2009-07-31,27,-0.23053962796113017,0.11643980913768638
KRMB,2009-09-16,27,-0.2963934909521584,0.12469632384213053
KRMB,2010-02-03,28,-0.37885476687895614,0.06912616525578616
KRMB,2010-08-04,28,-0.37885476687895614,0.06912616525578616
KRMB,2010-11-02,28,-0.37885476687895614,0.06912616525578616
KRMB,2011-07-14,28,-0.3269719870491886,0.07783457852411284
KRMB,2012-02-10,28,-0.42873896139895973,0.09954640041770685
KRMB,2014-08-13,28,-0.4865140981610241,0.08823312314515676
KRMB,2016-08-25,28,-0.5089841323018909,0.14175482803420428
KRMB,2019-09-11,28,-0.35730354052344626,0.12509003287501846
KRMB,2020-08-25,28,-0.3582530772288153,0.128409039241801
KRP,2010-11-03,28,0.1440930470646131,0.41074947478519713
