tag,boundary,nfam,common,leak
KRP,2012-02-09,29,0.08166932818073379,0.29787136294887545
KRP,2013-08-14,29,-0.016005289720630197,0.3020817729977789
KRP,2013-10-31,29,-0.016005289720630197,0.3020817729977789
KRP,2014-08-12,29,0.09658818225337804,0.36099029901085106
KRP,2015-10-28,29,0.1157611251868958,0.32599707780288095
KRP,2016-04-28,29,0.0984460087636994,0.34643818188894376
KRP,2021-08-03,30,-0.170254778767659,0.48134225728299884
KSXB,2017-05-03,33,0.8318521329240552,0.6771432413606603
KSXB,2024-10-09,33,0.41893229474018384,0.39296555603486105
LCCR,2020-08-23,47,0.0014773491403295312,0.10838117939776201
LCCR,2021-11-03,47,0.04277437452226439,0.08332681246579904
LDH,2012-10-03,55,-0.054099507582927524,0.07048020404406817
LDH,2015-06-16,55,0.06716656705655952,0.0528131360391752
LDH,2019-07-17,55,0.12362549953000315,0.06953745174935572
LDH,2025-11-25,55,0.06239846948444696,0.09998396957599824
LEBA,2020-10-21,40,-0.19917120479971012,0.40634574364010606
LEID,2025-03-13,6,0.1193067020895455,0.06183332621204315
LEID,2025-04-16,6,0.13895619258685515,0.056112496528293365
LGY,2018-08-10,59,-0.29354008956282635,0.22749174489763507
LOKI,2020-08-28,34,0.04348089845241463,0.1004485554627534
LTC,2012-10-03,74,0.08500719609777958,0.2671169857573264
LTC,2014-09-11,74,0.23545165023282089,0.19885701237460257
LTC,2018-09-26,74,0.10611798067639366,0.22585533232801006
MARQ,2020-08-27,79,0.05503520592261598,0.05789966517507266
MILL,2024-06-22,44,-0.19628485306111626,0.20038784307363916
MOGU,2022-08-19,13,0.21637620527749574,0.2929448496846842
NLWA,2011-05-02,53,-0.009590853829009257,0.18922278587292649
NLWA,2012-06-05,53,-0.015858143924377167,0.15499060345975285
NLWA,2018-06-05,53,0.06888054561846546,0.28123306639273876
OLQN,2021-07-02,67,-0.08427702892257574,0.34114589139729706
OLQN,2024-09-12,67,0.16524445037855087,0.3275026449132734
PETY,2022-08-30,29,-0.09819097573414891,0.2013843450036671
PETY,2025-07-23,26,-0.015423911526555173,0.322890597667518
PGCbhz,2015-01-12,81,0.355442642656448,0.1760552578325213
PGCbhz,2017-08-10,60,0.7115235652182919,0.1769469815103946
PR04,2018-10-04,16,-0.1530390137978328,0.06173842220457395
PR04,2020-07-09,16,-0.13793662499217874,0.050753442337726606
PR04,2020-08-13,16,-0.14754204864959608,0.051413239302951934
PR04,2023-12-20,16,-0.473307941655583,0.12113728179226473
PR05,2018-10-02,6,-0.29558033963272284,0.2926657673153919
PR05,2020-06-18,7,-0.14613072502738075,0.1485485364893825
PR05,2023-04-24,7,-0.03932454815300479,0.08826798470911328
PRIN,2023-03-02,35,0.011422316245977011,0.16837539677876928
RAIN,2020-08-14,64,-0.2974942973308581,0.3042570530526357
RAIN,2020-10-05,64,-0.28074754797966844,0.3047606485474449
RAIN,2022-06-09,64,-0.3659187106614832,0.47254854237840316
RER,2025-03-06,14,0.11519531575890596,0.2765744845933784
ROGE,2024-05-31,25,0.040845267933071985,0.2634558123103657
SAGE,2024-06-22,24,0.4069512506787879,0.22887835887256616
SANG,2024-02-28,65,-0.0008061048771682045,0.09453038525657553
SBAR,2024-06-22,18,0.07705150004845598,0.22915370563017326
SCOT,2022-10-27,29,0.3168258999748435,0.2532305768775489
SHW,2021-09-16,41,0.11057371128457948,0.14807122026783837
SIFT,2020-07-07,18,-0.4020622087260333,0.4756741038444687
SIFT,2022-06-21,18,-0.2221954484312338,0.3933410934942324
SIFT,2023-09-12,18,-0.2419066877234223,0.3535901699787548
SIFT,2023-12-01,18,-0.21835114768831093,0.3580562403515926
SIFT,2025-05-06,18,-0.16227302768888338,0.07778139632081638
SIGP,2025-04-15,54,-0.08788324105691937,0.20638305166701462
SISQ,2020-09-01,13,-0.05219429876803694,0.25708465135078146
SLDQ,2021-07-07,36,0.226930210068091,0.14800220472015277
SLDQ,2021-09-15,36,0.23822174834140658,0.15610891276342556
SNB,2017-06-08,51,-0.01766549199433927,0.16694047014616722
SNB,2017-07-12,51,-0.01766549199433927,0.16694047014616722
SP2,2011-08-25,74,0.13101592405917983,0.050840619141216466
SSO2,2021-08-17,34,0.1128795257740445,0.08253143718406457
STOR,2014-06-19,61,-0.13621594114182337,0.3161185523199525
STOR,2021-04-20,61,-0.10641312597555906,0.42171259555018126
SWF2,2015-07-31,40,0.25866563956640476,0.2537902181215907
SWF2,2017-12-05,40,0.11591945354119818,0.142568195798891
SWF2,2020-07-15,40,0.15838203456527705,0.12037562268622264
TOLE,2021-07-07,74,-0.08529648845112162,0.06454130859164109
TRIN,2022-10-26,19,-0.14687836146579614,0.19173525053656695
TRIN,2025-07-22,17,-0.05920710011637629,0.07072328531349487
UCHR,2022-12-16,11,0.2474563498068405,0.3804938809918723
UCHR,2023-05-25,11,0.34902466019779216,0.1865247828773461
UCHR,2024-02-06,11,0.28584357109967246,0.23079619252874806
UCHR,2025-03-25,10,0.34102301808320146,0.10977949059904583
VERN,2020-10-30,30,-0.02557626348035833,0.07862723080258349
VGZ,2017-03-03,11,0.004363932909819708,0.14181149375201274
VITI,2020-08-27,67,-0.05920582415931182,0.19282012501877105
VITI,2023-09-15,67,-0.11743585912503508,0.1996661361599308
WISH,2011-06-14,76,-0.01907132410710518,0.22463126254671456
WLOO,2020-03-15,19,0.046911150175320306,0.12796784854275914
WLOO,2024-05-24,19,0.09318820321700232,0.21855740186075523
WOOD,2025-06-04,55,0.006477127707918887,0.14115826023193248
WYLD,2020-08-28,14,0.11956148511342417,0.14815519358951795
WYLD,2022-08-11,14,0.1389534373574218,0.24280601936098745
YACT,2020-10-17,32,0.23101687011409683,0.10527990236163445
