cell,cell_lat,cell_lon,src_lat,src_lon,depth_km,frac_deep,n_pairs,n_sites,n_fam,depth_center,depth_mixed
40.00_-122.00,40.0,-122.0,40.0875,-122.225,27.119999999999997,0.0,2,2,5,17.22236211031338,False
40.00_-122.50,40.0,-122.5,40.1875,-122.4875,21.985,0.0,8,8,63,13.131808960270321,False
40.00_-123.00,40.0,-123.0,40.25,-122.8,13.09,0.0,9,9,32,23.32858341559678,False
40.50_-122.00,40.5,-122.0,40.45,-122.1,18.97,0.0,1,1,2,19.8074074074078,False
40.50_-122.50,40.5,-122.5,40.5625,-122.6375,20.405,0.07692307692307693,26,26,429,19.532747509010015,False
40.50_-123.00,40.5,-123.0,40.6,-122.85,23.04,0.043478260869565216,23,23,244,40.22486345903911,False
41.00_-122.00,41.0,-122.0,40.9,-122.0,18.1,0.0,1,1,1,15.398792746114063,False
41.00_-122.50,41.0,-122.5,40.85,-122.7,19.56,0.0,21,21,87,17.618936344969022,False
41.00_-123.00,41.0,-123.0,41.05,-123.0,22.115000000000002,0.08823529411764706,34,33,919,24.64532696546645,False
41.00_-123.50,41.0,-123.5,41.25,-123.32499999999999,35.56,0.875,8,8,10,26.51824999999985,False
41.50_-122.50,41.5,-122.5,41.5,-122.7,17.869999999999997,0.0,2,2,2,13.263390638084129,False
41.50_-123.00,41.5,-123.0,41.425,-123.1,31.48,0.7741935483870968,31,31,433,27.94907148120887,False
41.50_-123.50,41.5,-123.5,41.6,-123.35,37.37,0.9565217391304348,23,23,123,39.144808219544224,False
42.00_-123.00,42.0,-123.0,42.05,-123.2,33.11,0.8571428571428571,21,20,95,23.151624089295794,False
42.00_-123.50,42.0,-123.5,42.15,-123.375,40.47,1.0,30,28,319,45.49365192415486,False
42.00_-124.00,42.0,-124.0,42.1875,-123.8125,32.114999999999995,0.5,4,3,13,29.66860362158438,True
42.50_-123.00,42.5,-123.0,42.375,-123.25,32.1,0.7058823529411765,17,16,70,18.979904467347872,False
42.50_-123.50,42.5,-123.5,42.5,-123.45,33.510000000000005,0.7857142857142857,28,26,655,34.35184374473822,False
42.50_-124.00,42.5,-124.0,42.45,-123.8,36.125,0.9,10,9,42,34.87264342122174,False
43.00_-123.00,43.0,-123.0,42.925,-123.25,38.6,1.0,9,9,27,38.26012024682255,False
43.00_-123.50,43.0,-123.5,42.912499999999994,-123.5,33.18,0.9166666666666666,24,22,351,33.18439570045594,False
43.00_-124.00,43.0,-124.0,43.05,-123.775,27.975,0.0,12,11,36,27.1834430071074,False
43.50_-123.00,43.5,-123.0,43.5,-123.2,41.46,1.0,3,3,4,52.97019812236141,False
43.50_-123.50,43.5,-123.5,43.55,-123.5125,28.450000000000003,0.2777777777777778,18,17,224,26.07988806229862,False
43.50_-124.00,43.5,-124.0,43.412499999999994,-123.8,30.695,1.0,14,13,27,31.12864322810774,False
44.00_-123.00,44.0,-123.0,43.975,-123.2,23.869999999999997,0.0,6,5,13,25.720596039418417,False
44.00_-123.50,44.0,-123.5,44.0,-123.5,27.85,0.15789473684210525,19,18,144,23.297262217408935,False
44.00_-124.00,44.0,-124.0,43.975,-123.82499999999999,33.08,1.0,4,4,6,32.266189728638736,False
44.50_-123.00,44.5,-123.0,44.55,-123.25,39.82,1.0,3,3,3,24.443866028708314,False
44.50_-123.50,44.5,-123.5,44.55,-123.55,28.665,0.1111111111111111,18,18,314,27.646312847600882,False
44.50_-124.00,44.5,-124.0,44.5,-123.75,22.16,0.0,9,9,32,32.43504294478582,False
45.00_-123.00,45.0,-123.0,45.125,-123.175,27.59,0.3333333333333333,21,21,86,23.046853412197805,True
45.00_-123.50,45.0,-123.5,45.0625,-123.45,30.205,0.5,26,26,389,26.233324806383457,True
45.00_-124.00,45.0,-124.0,44.95,-123.775,33.305,0.5,4,4,4,28.026387175795623,True
45.50_-123.00,45.5,-123.0,45.412499999999994,-123.15,24.93,0.21428571428571427,28,28,165,34.057984330484395,False
45.50_-123.50,45.5,-123.5,45.525,-123.4,32.64,0.7142857142857143,28,28,295,43.507808619465365,False
45.50_-124.00,45.5,-124.0,45.45,-124.05,25.33,0.0,1,1,1,25.373704695790586,False
46.00_-123.00,46.0,-123.0,45.962500000000006,-123.15,24.545,0.29545454545454547,44,44,248,23.552466117459495,False
46.00_-123.50,46.0,-123.5,45.9,-123.35,30.81,0.5172413793103449,29,29,110,17.149957990758082,True
